cell_id,Psarocolius bifasciatus,Psarocolius bifasciatus yuracares/neivae,Psarocolius bifasciatus bifasciatus
835f63fffffffff,2.0,0.0,0.0
835f68fffffffff,8.0,0.0,0.0
835f70fffffffff,2.0,1.0,0.0
835f75fffffffff,18.0,0.0,0.0
836641fffffffff,215.0,8.0,0.0
836643fffffffff,2.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
83664efffffffff,6.0,0.0,0.0
836652fffffffff,2.0,0.0,0.0
836653fffffffff,4.0,0.0,0.0
836654fffffffff,1.0,0.0,0.0
836656fffffffff,30.0,0.0,0.0
83665afffffffff,487.0,33.0,0.0
83665bfffffffff,143.0,9.0,0.0
83665efffffffff,28.0,0.0,0.0
836663fffffffff,25.0,0.0,0.0
83666afffffffff,7.0,0.0,0.0
83666cfffffffff,4.0,0.0,0.0
83666efffffffff,24.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0
8366c1fffffffff,7.0,0.0,0.0
8366c2fffffffff,22.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0
8366c5fffffffff,27.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0
8366cdfffffffff,13.0,0.0,0.0
8366cefffffffff,12.0,0.0,0.0
8366d1fffffffff,166.0,3.0,0.0
8366d8fffffffff,37.0,0.0,0.0
8366dafffffffff,38.0,2.0,0.0
8366dbfffffffff,16.0,0.0,0.0
8366dcfffffffff,240.0,25.0,0.0
8366ddfffffffff,34.0,2.0,0.0
8366defffffffff,53.0,5.0,0.0
8366e0fffffffff,152.0,0.0,0.0
8366e1fffffffff,126.0,0.0,0.0
8366e3fffffffff,14.0,0.0,0.0
8366e5fffffffff,598.0,0.0,0.0
8366e8fffffffff,5.0,0.0,0.0
8366e9fffffffff,8.0,0.0,0.0
8366eafffffffff,20.0,3.0,0.0
8366ecfffffffff,79.0,0.0,0.0
8366eefffffffff,58.0,0.0,0.0
838044fffffffff,12.0,0.0,0.0
838046fffffffff,19.0,0.0,0.0
838065fffffffff,4.0,0.0,0.0
83806efffffffff,1.0,0.0,0.0
838071fffffffff,8.0,0.0,0.0
838074fffffffff,3.0,0.0,0.0
838075fffffffff,3.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0
838143fffffffff,4.0,0.0,0.0
83814afffffffff,3.0,0.0,0.0
83814dfffffffff,60.0,0.0,0.0
83814efffffffff,8.0,0.0,0.0
838159fffffffff,10.0,0.0,0.0
83815afffffffff,7.0,0.0,0.0
83815dfffffffff,37.0,0.0,0.0
838163fffffffff,5.0,0.0,0.0
838a00fffffffff,2.0,0.0,0.0
838a06fffffffff,1.0,0.0,0.0
838a10fffffffff,1.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0
838a1afffffffff,1.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0
838a21fffffffff,5.0,0.0,0.0
838a2cfffffffff,3.0,0.0,0.0
838a2efffffffff,1.0,0.0,0.0
838a31fffffffff,2.0,0.0,0.0
838a33fffffffff,21.0,0.0,0.0
838a41fffffffff,4.0,0.0,0.0
838a42fffffffff,1.0,1.0,0.0
838a45fffffffff,21.0,0.0,0.0
838a4bfffffffff,9.0,0.0,0.0
838a56fffffffff,3.0,0.0,0.0
838a5afffffffff,3.0,3.0,0.0
838a63fffffffff,22.0,2.0,0.0
838a68fffffffff,3.0,0.0,0.0
838a69fffffffff,3.0,0.0,0.0
838a6dfffffffff,21.0,0.0,0.0
838a80fffffffff,64.0,0.0,0.0
838a81fffffffff,6.0,0.0,0.0
838a82fffffffff,1.0,0.0,0.0
838a85fffffffff,3.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0
838aa8fffffffff,27.0,0.0,0.0
838aa9fffffffff,4.0,0.0,0.0
838aaafffffffff,13.0,0.0,0.0
838aabfffffffff,5.0,0.0,0.0
838aacfffffffff,10.0,0.0,0.0
838aadfffffffff,5.0,0.0,0.0
838ab2fffffffff,2.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ac5fffffffff,1.0,0.0,0.0
838ad1fffffffff,2.0,0.0,0.0
838ad8fffffffff,20.0,2.0,0.0
838adbfffffffff,2.0,2.0,0.0
838adcfffffffff,9.0,0.0,0.0
838af0fffffffff,17.0,0.0,0.0
838af1fffffffff,9.0,0.0,0.0
838af4fffffffff,10.0,0.0,0.0
838af6fffffffff,5.0,0.0,0.0
838b0dfffffffff,9.0,0.0,0.0
838b11fffffffff,8.0,0.0,0.0
838b1dfffffffff,2.0,0.0,0.0
838b21fffffffff,5.0,0.0,0.0
838b22fffffffff,35.0,0.0,0.0
838b23fffffffff,8.0,0.0,0.0
838b2cfffffffff,19.0,0.0,0.0
838b2efffffffff,19.0,0.0,0.0
838b40fffffffff,47.0,0.0,0.0
838b42fffffffff,15.0,0.0,0.0
838b44fffffffff,306.0,2.0,0.0
838b45fffffffff,27.0,0.0,0.0
838b46fffffffff,50.0,0.0,0.0
838b48fffffffff,1.0,0.0,0.0
838b4dfffffffff,1.0,0.0,0.0
838b4efffffffff,8.0,0.0,0.0
838b51fffffffff,5.0,0.0,0.0
838b52fffffffff,3.0,0.0,0.0
838b53fffffffff,3.0,0.0,0.0
838b56fffffffff,14.0,0.0,0.0
838b5cfffffffff,14.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0
838b61fffffffff,230.0,6.0,0.0
838b62fffffffff,58.0,5.0,0.0
838b63fffffffff,560.0,14.0,0.0
838b69fffffffff,13.0,0.0,0.0
838b6cfffffffff,21.0,0.0,0.0
838b6efffffffff,149.0,0.0,0.0
838b70fffffffff,7.0,0.0,0.0
838b71fffffffff,251.0,3.0,0.0
838b74fffffffff,21.0,0.0,0.0
838b75fffffffff,8.0,0.0,0.0
838b88fffffffff,4.0,0.0,0.0
838b96fffffffff,1.0,0.0,0.0
838b99fffffffff,79.0,0.0,0.0
838b9dfffffffff,316.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0
838f40fffffffff,53.0,0.0,0.0
838f43fffffffff,14.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0
838f46fffffffff,2.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0
838f6bfffffffff,15.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a85bfffffffff,2.0,0.0,0.0
83a8c9fffffffff,2.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0
