cell_id,Pachycephala philippinensis,Pachycephala philippinensis fallax,Pachycephala philippinensis illex,Pachycephala philippinensis [philippinensis Group]
844b933ffffffff,9.0,0.0,0.0,0.0
8468415ffffffff,6.0,0.0,0.0,0.0
8468423ffffffff,28.0,0.0,0.0,4.0
8468435ffffffff,133.0,0.0,0.0,8.0
8468439ffffffff,16.0,0.0,0.0,4.0
8468447ffffffff,79.0,0.0,0.0,0.0
8468451ffffffff,1.0,0.0,0.0,0.0
8468461ffffffff,4.0,0.0,0.0,0.0
84684e5ffffffff,228.0,0.0,0.0,10.0
846855bffffffff,10.0,0.0,0.0,0.0
846856bffffffff,30.0,0.0,0.0,8.0
8468583ffffffff,2.0,0.0,0.0,0.0
846858bffffffff,22.0,0.0,0.0,0.0
846859dffffffff,2.0,0.0,0.0,0.0
84685c1ffffffff,2.0,0.0,0.0,0.0
84685c3ffffffff,16.0,0.0,0.0,5.0
84685c7ffffffff,83.0,0.0,0.0,1.0
84685cbffffffff,1.0,0.0,0.0,0.0
84685d1ffffffff,28.0,0.0,0.0,0.0
84685d5ffffffff,2.0,0.0,0.0,0.0
84685d7ffffffff,6.0,0.0,0.0,0.0
84685dbffffffff,4.0,0.0,0.0,0.0
84685ddffffffff,1.0,0.0,0.0,0.0
84685e1ffffffff,4.0,0.0,0.0,0.0
84685e3ffffffff,15.0,0.0,0.0,0.0
84685e7ffffffff,99.0,0.0,0.0,6.0
84685e9ffffffff,34.0,0.0,0.0,11.0
84685edffffffff,3.0,0.0,0.0,3.0
84686e7ffffffff,1.0,0.0,0.0,0.0
84686e9ffffffff,29.0,0.0,0.0,0.0
8469433ffffffff,1.0,0.0,0.0,0.0
8469439ffffffff,1.0,0.0,0.0,0.0
846943bffffffff,5.0,0.0,0.0,0.0
84694a9ffffffff,10.0,0.0,0.0,0.0
84694cdffffffff,8.0,0.0,0.0,3.0
84694e1ffffffff,145.0,0.0,0.0,12.0
84694e5ffffffff,55.0,0.0,0.0,0.0
84694e7ffffffff,4.0,0.0,0.0,0.0
84694e9ffffffff,3.0,0.0,0.0,0.0
84694ebffffffff,7.0,0.0,0.0,0.0
8469683ffffffff,4.0,0.0,0.0,0.0
846969dffffffff,1.0,0.0,0.0,1.0
84696c3ffffffff,2.0,0.0,0.0,0.0
84696cbffffffff,3.0,0.0,0.0,1.0
84696d7ffffffff,1.0,0.0,0.0,0.0
