cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
835282fffffffff,2.0,0.0,0.0
835291fffffffff,20.0,3.0,0.0
83529bfffffffff,2.0,0.0,0.0
835410fffffffff,115.0,47.0,0.0
835413fffffffff,36.0,9.0,0.0
835415fffffffff,3.0,2.0,0.0
835418fffffffff,2.0,0.0,0.0
835419fffffffff,1.0,0.0,0.0
83541afffffffff,72.0,9.0,0.0
83541bfffffffff,141.0,11.0,0.0
835449fffffffff,2.0,0.0,0.0
8354a9fffffffff,45.0,2.0,0.0
8354e4fffffffff,56.0,4.0,0.0
8354f1fffffffff,2.0,0.0,0.0
8354f4fffffffff,12.0,1.0,0.0
8354f5fffffffff,9.0,0.0,0.0
835858fffffffff,9.0,0.0,0.0
83585afffffffff,1.0,0.0,0.0
8358a4fffffffff,8.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358defffffffff,1.0,0.0,0.0
83599afffffffff,8.0,0.0,0.0
83599bfffffffff,1.0,0.0,0.0
83599efffffffff,15.0,1.0,0.0
836a45fffffffff,2.0,0.0,0.0
836a49fffffffff,3.0,0.0,0.0
836a50fffffffff,2.0,0.0,0.0
836a5afffffffff,3.0,0.0,0.0
836ac0fffffffff,1.0,1.0,0.0
836ac3fffffffff,20.0,6.0,0.0
836ac8fffffffff,139.0,10.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,8.0,3.0,0.0
836acdfffffffff,1.0,0.0,0.0
836acefffffffff,79.0,11.0,0.0
836ad8fffffffff,195.0,0.0,0.0
836adafffffffff,2.0,0.0,0.0
836adcfffffffff,13.0,0.0,0.0
836addfffffffff,58.0,0.0,0.0
836ae8fffffffff,109.0,20.0,0.0
836ae9fffffffff,1.0,0.0,0.0
836aeafffffffff,29.0,7.0,0.0
836aebfffffffff,15.0,1.0,0.0
836aeefffffffff,57.0,9.0,0.0
836b12fffffffff,8.0,0.0,0.0
836b49fffffffff,2.0,0.0,0.0
837508fffffffff,4.0,0.0,0.0
83750dfffffffff,2.0,0.0,0.0
837520fffffffff,77.0,11.0,0.0
837580fffffffff,2.0,0.0,0.0
837586fffffffff,2.0,0.0,0.0
837a40fffffffff,4.0,0.0,0.0
837a41fffffffff,10.0,0.0,0.0
837a45fffffffff,17.0,0.0,0.0
837a48fffffffff,4.0,1.0,0.0
837a49fffffffff,5.0,0.0,0.0
837a4cfffffffff,14.0,0.0,0.0
837a61fffffffff,121.0,0.0,0.0
837a64fffffffff,16.0,0.0,0.0
837a65fffffffff,24.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,100.0,0.0,0.0
837a69fffffffff,5.0,0.0,0.0
837a6afffffffff,38.0,0.0,0.0
837a6bfffffffff,3.0,0.0,0.0
837a6cfffffffff,1.0,0.0,0.0
837a6dfffffffff,5.0,0.0,0.0
837a6efffffffff,26.0,0.0,0.0
837ac8fffffffff,181.0,38.0,0.0
837acafffffffff,112.0,30.0,0.0
837acbfffffffff,2.0,0.0,0.0
837acdfffffffff,82.0,3.0,0.0
837ae8fffffffff,1.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
837b59fffffffff,7.0,0.0,0.0
837b5bfffffffff,8.0,0.0,0.0
837b6bfffffffff,3.0,0.0,0.0
8382b0fffffffff,1.0,0.0,0.0
838311fffffffff,1.0,1.0,0.0
838313fffffffff,3.0,0.0,0.0
83831efffffffff,3.0,0.0,0.0
839600fffffffff,1.0,1.0,0.0
839601fffffffff,17.0,4.0,0.0
839602fffffffff,55.0,14.0,0.0
839605fffffffff,2.0,0.0,0.0
839609fffffffff,14.0,0.0,0.0
83960efffffffff,1.0,0.0,0.0
839614fffffffff,11.0,0.0,0.0
839615fffffffff,4.0,0.0,0.0
83961afffffffff,5.0,2.0,0.0
839620fffffffff,48.0,14.0,0.0
839621fffffffff,21.0,0.0,2.0
839622fffffffff,6.0,0.0,0.0
839623fffffffff,31.0,6.0,1.0
839625fffffffff,14.0,0.0,0.0
839626fffffffff,4.0,0.0,0.0
839628fffffffff,33.0,0.0,0.0
839629fffffffff,10.0,0.0,0.0
83962bfffffffff,50.0,0.0,0.0
83962cfffffffff,9.0,0.0,0.0
83962dfffffffff,26.0,0.0,0.0
83962efffffffff,23.0,7.0,0.0
839633fffffffff,102.0,31.0,0.0
839635fffffffff,2.0,0.0,0.0
839675fffffffff,29.0,0.0,0.0
839682fffffffff,1.0,0.0,0.0
839686fffffffff,8.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0
839690fffffffff,154.0,7.0,0.0
839692fffffffff,164.0,11.0,0.0
839693fffffffff,343.0,24.0,0.0
839694fffffffff,2.0,0.0,0.0
83969afffffffff,21.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a8fffffffff,5.0,0.0,0.0
8396adfffffffff,2.0,0.0,0.0
8396b1fffffffff,16.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0
8396b6fffffffff,11.0,0.0,0.0
839705fffffffff,13.0,0.0,0.0
839706fffffffff,2.0,0.0,0.0
83970afffffffff,3.0,0.0,0.0
83970dfffffffff,2.0,0.0,0.0
839710fffffffff,8.0,0.0,0.0
839711fffffffff,247.0,0.0,0.0
839713fffffffff,17.0,0.0,0.0
839715fffffffff,38.0,0.0,0.0
839719fffffffff,10.0,0.0,0.0
83971afffffffff,1.0,0.0,0.0
839723fffffffff,2.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0
839729fffffffff,19.0,0.0,3.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,51.0,0.0,18.0
83972dfffffffff,6.0,0.0,0.0
83972efffffffff,72.0,0.0,13.0
839731fffffffff,4.0,0.0,0.0
839735fffffffff,10.0,0.0,0.0
839740fffffffff,6.0,0.0,1.0
839741fffffffff,150.0,0.0,0.0
839742fffffffff,2.0,0.0,0.0
839743fffffffff,450.0,0.0,8.0
839744fffffffff,2.0,0.0,0.0
839746fffffffff,2.0,0.0,0.0
83974afffffffff,538.0,0.0,116.0
83974bfffffffff,42.0,0.0,16.0
83974efffffffff,257.0,0.0,40.0
839750fffffffff,19.0,0.0,2.0
