cell_id,Corvus corone,Corvus corone corone,Corvus corone orientalis
820817fffffffff,2.0,0.0,0.0
820887fffffffff,3.0,0.0,0.0
820897fffffffff,1.0,0.0,0.0
820997fffffffff,2.0,0.0,0.0
82182ffffffffff,56.0,1.0,0.0
82184ffffffffff,69.0,7.0,0.0
82185ffffffffff,38.0,3.0,0.0
821867fffffffff,4.0,0.0,0.0
821877fffffffff,1.0,0.0,0.0
82190ffffffffff,6.0,4.0,0.0
821927fffffffff,1.0,1.0,0.0
821947fffffffff,22.0,15.0,0.0
82194ffffffffff,14.0,13.0,0.0
821957fffffffff,23.0,1.0,0.0
82195ffffffffff,18.0,18.0,0.0
82196ffffffffff,1.0,1.0,0.0
821977fffffffff,11.0,11.0,0.0
821e07fffffffff,65.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e27fffffffff,4.0,0.0,0.0
821e37fffffffff,5.0,0.0,0.0
821ea7fffffffff,3.0,0.0,0.0
821f07fffffffff,28.0,0.0,0.0
821f0ffffffffff,5.0,0.0,0.0
821f17fffffffff,3.0,3.0,0.0
821f1ffffffffff,6.0,0.0,0.0
821f27fffffffff,2.0,0.0,0.0
821f2ffffffffff,3.0,0.0,0.0
821f37fffffffff,5.0,5.0,0.0
821f77fffffffff,53.0,0.0,0.0
821f87fffffffff,14.0,3.0,0.0
821f8ffffffffff,37.0,2.0,0.0
821f97fffffffff,1.0,0.0,0.0
821f9ffffffffff,11.0,2.0,0.0
821fa7fffffffff,2.0,0.0,0.0
821faffffffffff,1.0,1.0,0.0
821fb7fffffffff,2.0,0.0,0.0
82200ffffffffff,3.0,0.0,3.0
822017fffffffff,11.0,0.0,10.0
82201ffffffffff,8.0,0.0,8.0
8220e7fffffffff,8.0,0.0,8.0
8220f7fffffffff,1.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0
822467fffffffff,6.0,0.0,0.0
822477fffffffff,3.0,0.0,0.0
822517fffffffff,8.0,0.0,4.0
822557fffffffff,1.0,0.0,0.0
82255ffffffffff,19.0,0.0,7.0
8225affffffffff,2.0,0.0,2.0
822e67fffffffff,5.0,0.0,0.0
822f5ffffffffff,6.0,0.0,3.0
82309ffffffffff,8.0,0.0,0.0
8230e7fffffffff,6.0,0.0,0.0
8231affffffffff,2.0,0.0,0.0
823827fffffffff,82.0,0.0,0.0
823907fffffffff,246.0,0.0,0.0
82390ffffffffff,150.0,0.0,0.0
823917fffffffff,42.0,1.0,0.0
82391ffffffffff,7.0,0.0,0.0
823927fffffffff,57.0,0.0,0.0
82392ffffffffff,112.0,1.0,0.0
823937fffffffff,43.0,0.0,0.0
823947fffffffff,2.0,0.0,0.0
82394ffffffffff,4.0,0.0,0.0
823957fffffffff,61.0,0.0,0.0
823977fffffffff,419.0,1.0,0.0
823c47fffffffff,1.0,0.0,0.0
823c5ffffffffff,1.0,0.0,0.0
823d27fffffffff,4.0,0.0,0.0
823d37fffffffff,19.0,0.0,9.0
824057fffffffff,1.0,0.0,0.0
82411ffffffffff,11.0,0.0,1.0
82415ffffffffff,4.0,0.0,0.0
824197fffffffff,3.0,0.0,2.0
82419ffffffffff,2.0,0.0,0.0
8241a7fffffffff,87.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0
824b67fffffffff,2.0,0.0,2.0
824b77fffffffff,2.0,0.0,2.0
824b87fffffffff,6.0,0.0,0.0
824ba7fffffffff,4.0,0.0,0.0
824bb7fffffffff,7.0,0.0,0.0
