cell_id,Bocagia minuta,Bocagia minuta minuta,Bocagia minuta anchietae/reichenowi
8354ccfffffffff,1.0,0.0,0.0
835890fffffffff,1.0,0.0,0.0
835895fffffffff,1.0,0.0,0.0
835896fffffffff,14.0,1.0,0.0
8358a6fffffffff,1.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358defffffffff,3.0,0.0,0.0
836ac0fffffffff,4.0,0.0,0.0
836ac1fffffffff,37.0,0.0,0.0
836ac3fffffffff,143.0,0.0,0.0
836ac5fffffffff,1.0,0.0,0.0
836ac8fffffffff,34.0,0.0,0.0
836ac9fffffffff,1.0,0.0,0.0
836accfffffffff,5.0,0.0,0.0
836acdfffffffff,5.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0
836adcfffffffff,7.0,0.0,0.0
836ae1fffffffff,1.0,0.0,0.0
836ae8fffffffff,14.0,0.0,0.0
836aeafffffffff,107.0,0.0,0.0
836aebfffffffff,3.0,0.0,0.0
836aeefffffffff,16.0,0.0,0.0
836b8afffffffff,1.0,0.0,0.0
837508fffffffff,4.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,116.0,15.0,0.0
837529fffffffff,40.0,2.0,0.0
83752afffffffff,11.0,0.0,0.0
83752efffffffff,2.0,0.0,0.0
837a48fffffffff,5.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0
837a4dfffffffff,22.0,0.0,0.0
837a6bfffffffff,9.0,0.0,0.0
837b48fffffffff,1.0,0.0,0.0
838212fffffffff,7.0,0.0,0.0
838312fffffffff,11.0,0.0,0.0
838320fffffffff,3.0,0.0,0.0
838333fffffffff,1.0,0.0,0.0
839600fffffffff,1.0,0.0,0.0
839601fffffffff,2.0,0.0,0.0
839602fffffffff,12.0,0.0,12.0
839608fffffffff,1.0,0.0,1.0
839609fffffffff,5.0,0.0,2.0
83960bfffffffff,4.0,0.0,1.0
839615fffffffff,3.0,0.0,3.0
83961afffffffff,6.0,0.0,2.0
839634fffffffff,1.0,0.0,0.0
8396b1fffffffff,4.0,0.0,0.0
839711fffffffff,5.0,0.0,1.0
83971cfffffffff,29.0,0.0,9.0
839789fffffffff,4.0,0.0,0.0
