cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
836500fffffffff,148.0,0.0,0.0
836501fffffffff,32.0,0.0,0.0
836502fffffffff,48.0,0.0,0.0
836503fffffffff,243.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
836505fffffffff,68.0,0.0,0.0
83650efffffffff,9.0,0.0,0.0
836518fffffffff,158.0,0.0,0.0
836519fffffffff,35.0,0.0,0.0
83651cfffffffff,37.0,0.0,0.0
83651dfffffffff,586.0,0.0,0.0
836520fffffffff,46.0,0.0,0.0
836522fffffffff,9.0,0.0,0.0
836523fffffffff,35.0,0.0,0.0
836526fffffffff,91.0,0.0,0.0
836531fffffffff,10.0,0.0,0.0
83658afffffffff,2.0,0.0,0.0
836599fffffffff,4.0,0.0,0.0
8365b2fffffffff,2.0,0.0,0.0
8365b4fffffffff,1.0,0.0,0.0
83681cfffffffff,2.0,0.0,0.0
836828fffffffff,5.0,0.0,0.0
83684efffffffff,2.0,0.0,0.0
836858fffffffff,1.0,0.0,0.0
83685cfffffffff,3.0,0.0,0.0
8368c8fffffffff,1.0,0.0,0.0
836941fffffffff,2.0,0.0,0.0
836945fffffffff,2.0,0.0,0.0
83695efffffffff,1.0,0.0,0.0
8372aefffffffff,7.0,0.0,0.0
837390fffffffff,3.0,0.0,0.0
83739bfffffffff,2.0,0.0,0.0
8373b6fffffffff,2.0,0.0,0.0
838db5fffffffff,3.0,0.0,0.0
8395a4fffffffff,1.0,0.0,0.0
