cell_id,Apteryx australis,Apteryx australis australis,Apteryx australis lawryi
84da835ffffffff,1.0,0.0,0.0
84da8c1ffffffff,1.0,0.0,0.0
84da8c5ffffffff,8.0,0.0,0.0
84da8c7ffffffff,5.0,2.0,0.0
84da8c9ffffffff,1.0,0.0,0.0
84da8e1ffffffff,1.0,1.0,0.0
84da8e9ffffffff,23.0,4.0,0.0
84da8ebffffffff,4.0,2.0,0.0
84da8edffffffff,7.0,1.0,0.0
84daaa3ffffffff,4.0,0.0,3.0
84daaabffffffff,446.0,0.0,180.0
84daabdffffffff,1.0,0.0,1.0
