cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
82209ffffffffff,14.0,0.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0,0.0
823097fffffffff,77.0,5.0,0.0,0.0
82309ffffffffff,480.0,15.0,0.0,0.0
8230b7fffffffff,2.0,0.0,0.0,0.0
823c07fffffffff,962.0,0.0,174.0,0.0
823c0ffffffffff,506.0,0.0,33.0,0.0
823c17fffffffff,1.0,0.0,0.0,0.0
823c1ffffffffff,797.0,0.0,11.0,0.0
823c37fffffffff,91.0,0.0,4.0,0.0
823c47fffffffff,12.0,0.0,10.0,0.0
823c57fffffffff,824.0,0.0,0.0,0.0
823c5ffffffffff,333.0,0.0,36.0,0.0
823cc7fffffffff,18.0,0.0,0.0,0.0
823cdffffffffff,41.0,11.0,0.0,0.0
823ce7fffffffff,340.0,0.0,36.0,0.0
823ceffffffffff,408.0,0.0,0.0,0.0
823d17fffffffff,2144.0,0.0,0.0,0.0
823d1ffffffffff,913.0,0.0,0.0,0.0
823d37fffffffff,389.0,0.0,0.0,0.0
823daffffffffff,3474.0,0.0,0.0,0.0
824007fffffffff,11.0,2.0,0.0,0.0
82400ffffffffff,39.0,0.0,0.0,0.0
824017fffffffff,11.0,7.0,0.0,0.0
82401ffffffffff,19.0,0.0,0.0,0.0
824027fffffffff,17.0,0.0,0.0,0.0
824037fffffffff,10.0,0.0,0.0,0.0
824047fffffffff,104.0,1.0,0.0,0.0
82404ffffffffff,178.0,0.0,0.0,0.0
824057fffffffff,8.0,4.0,0.0,0.0
82405ffffffffff,40.0,0.0,0.0,0.0
824067fffffffff,17.0,0.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0,0.0
824077fffffffff,95.0,1.0,0.0,0.0
82408ffffffffff,39.0,0.0,0.0,0.0
824097fffffffff,1.0,0.0,0.0,0.0
8240a7fffffffff,45.0,1.0,0.0,0.0
8240affffffffff,9.0,0.0,0.0,0.0
8240b7fffffffff,100.0,4.0,0.0,0.0
8240c7fffffffff,76.0,0.0,0.0,0.0
8240e7fffffffff,339.0,16.0,0.0,0.0
8240effffffffff,59.0,5.0,0.0,0.0
8240f7fffffffff,12.0,0.0,0.0,0.0
824117fffffffff,3.0,0.0,0.0,0.0
82411ffffffffff,99.0,7.0,0.0,0.0
82414ffffffffff,23.0,3.0,0.0,0.0
824157fffffffff,2.0,0.0,0.0,0.0
82415ffffffffff,57.0,20.0,0.0,0.0
824167fffffffff,49.0,0.0,0.0,20.0
824187fffffffff,116.0,16.0,0.0,0.0
82418ffffffffff,20.0,1.0,0.0,0.0
824197fffffffff,366.0,13.0,0.0,0.0
82419ffffffffff,34.0,5.0,0.0,0.0
8241a7fffffffff,70.0,6.0,0.0,0.0
8241affffffffff,5.0,0.0,0.0,0.0
8241b7fffffffff,575.0,52.0,0.0,0.0
82426ffffffffff,2.0,0.0,0.0,0.0
824b27fffffffff,3.0,0.0,0.0,0.0
824b37fffffffff,38.0,0.0,0.0,0.0
824b87fffffffff,11.0,0.0,0.0,0.0
824ba7fffffffff,9618.0,1243.0,0.0,0.0
824bb7fffffffff,196.0,4.0,0.0,0.0
826497fffffffff,352.0,89.0,0.0,0.0
82649ffffffffff,37.0,9.0,0.0,0.0
8265b7fffffffff,362.0,0.0,0.0,253.0
826937fffffffff,122.0,0.0,0.0,99.0
