cell_id,Pterocles lichtensteinii,Pterocles lichtensteinii [lichtensteinii Group],Pterocles lichtensteinii arabicus
833e68fffffffff,449.0,23.0,0.0
833e6afffffffff,5.0,0.0,0.0
833e6cfffffffff,2.0,0.0,0.0
8342e4fffffffff,10.0,0.0,0.0
834388fffffffff,17.0,0.0,0.0
83438cfffffffff,16.0,0.0,0.0
83438efffffffff,2.0,0.0,0.0
834398fffffffff,2.0,0.0,0.0
83439efffffffff,2.0,0.0,0.0
8343a8fffffffff,11.0,0.0,0.0
8343acfffffffff,77.0,0.0,0.0
8343aefffffffff,746.0,0.0,0.0
835202fffffffff,1.0,0.0,0.0
83521cfffffffff,2.0,0.0,0.0
835233fffffffff,1.0,0.0,0.0
83524dfffffffff,18.0,0.0,0.0
835280fffffffff,2.0,0.0,0.0
835289fffffffff,8.0,0.0,0.0
8352d4fffffffff,37.0,0.0,0.0
8352d6fffffffff,17.0,0.0,0.0
8352dcfffffffff,2.0,0.0,0.0
8352defffffffff,2.0,0.0,0.0
835313fffffffff,1.0,0.0,0.0
836330fffffffff,14.0,0.0,0.0
836332fffffffff,15.0,0.0,0.0
836333fffffffff,6.0,0.0,0.0
836335fffffffff,4.0,0.0,0.0
836336fffffffff,1.0,0.0,0.0
8363a8fffffffff,1.0,0.0,0.0
8363aefffffffff,13.0,1.0,0.0
836a58fffffffff,9.0,0.0,0.0
837a40fffffffff,127.0,0.0,0.0
837a41fffffffff,34.0,2.0,0.0
837a4cfffffffff,2.0,0.0,0.0
837a53fffffffff,2.0,0.0,0.0
837a58fffffffff,1.0,0.0,0.0
837ad9fffffffff,60.0,0.0,0.0
