cell_id,Larus glaucoides,Larus glaucoides thayeri,Larus glaucoides kumlieni,Larus glaucoides glaucoides,Larus glaucoides thayeri/kumlieni,Larus glaucoides kumlieni/glaucoides,Larus glaucoides thayeri x glaucoides/kumlieni
84002c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8400711ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8400747ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8400765ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401259ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,21.0,0.0,0.0,6.0,0.0,0.0,0.0
8401319ffffffff,20.0,0.0,0.0,8.0,0.0,4.0,0.0
8401351ffffffff,3.0,0.0,0.0,2.0,0.0,1.0,0.0
8401353ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8401355ffffffff,5.0,0.0,0.0,2.0,0.0,1.0,0.0
840153bffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84015e9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8402405ffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
8402417ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402435ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
840243dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402463ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
84024c1ffffffff,8.0,7.0,0.0,0.0,0.0,0.0,0.0
84024c5ffffffff,12.0,10.0,0.0,0.0,0.0,0.0,0.0
84024c9ffffffff,15.0,11.0,0.0,0.0,0.0,0.0,0.0
84024cdffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402501ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
840250bffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8402511ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
840253dffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
84025cbffffffff,73.0,66.0,0.0,0.0,0.0,7.0,0.0
84025d1ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
84025e7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8402711ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402767ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
84028a9ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8402cabffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,180.0,178.0,0.0,0.0,0.0,0.0,0.0
8402d63ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8402da9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402e83ffffffff,10.0,8.0,0.0,0.0,0.0,0.0,0.0
8402e8bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8402e99ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402eb9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8402ec3ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8402ed7ffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0
8406261ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84062dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84062edffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406311ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406319ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840634bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8406353ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406565ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8406833ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406893ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8406897ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840689bffffffff,33.0,0.0,0.0,7.0,0.0,11.0,0.0
84068d5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406c95ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406c9bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8406c9dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406d13ffffffff,3.0,0.0,0.0,0.0,0.0,1.0,0.0
8406d1dffffffff,20.0,0.0,0.0,5.0,0.0,5.0,0.0
8406d45ffffffff,3.0,0.0,0.0,1.0,0.0,2.0,0.0
8406d69ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406dc1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8406dcdffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8406dd1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8406ed5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,40.0,0.0,2.0,1.0,0.0,6.0,0.0
8407417ffffffff,8.0,0.0,0.0,0.0,0.0,2.0,0.0
8407425ffffffff,78.0,0.0,0.0,18.0,0.0,21.0,0.0
8407427ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407433ffffffff,121.0,0.0,3.0,25.0,0.0,26.0,0.0
8407437ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
840743bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
8407451ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
8407455ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
840745dffffffff,65.0,0.0,0.0,0.0,0.0,17.0,0.0
8407465ffffffff,21.0,0.0,0.0,4.0,0.0,9.0,0.0
8407467ffffffff,9.0,0.0,0.0,3.0,0.0,2.0,0.0
84074e9ffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
84074edffffffff,70.0,0.0,3.0,24.0,0.0,22.0,0.0
8407513ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407519ffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
840751bffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
8407551ffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
840755bffffffff,8.0,0.0,0.0,0.0,0.0,2.0,0.0
840755dffffffff,5.0,0.0,0.0,2.0,0.0,0.0,0.0
8407581ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8407589ffffffff,19.0,0.0,0.0,0.0,0.0,2.0,0.0
840758dffffffff,91.0,0.0,0.0,5.0,0.0,9.0,0.0
84075a9ffffffff,15.0,0.0,0.0,2.0,0.0,0.0,0.0
84075c1ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c7ffffffff,26.0,0.0,0.0,5.0,0.0,5.0,0.0
84075cbffffffff,14.0,0.0,0.0,2.0,0.0,3.0,0.0
84075cdffffffff,10.0,0.0,0.0,0.0,0.0,2.0,0.0
84075d1ffffffff,512.0,0.0,5.0,54.0,0.0,148.0,0.0
84075d9ffffffff,173.0,0.0,15.0,46.0,0.0,15.0,0.0
84075ddffffffff,288.0,0.0,2.0,9.0,0.0,88.0,0.0
84075e1ffffffff,12.0,0.0,0.0,0.0,0.0,5.0,0.0
84075e3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e5ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
84075e7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e9ffffffff,5.0,0.0,0.0,0.0,0.0,2.0,0.0
84075ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075edffffffff,132.0,0.0,0.0,0.0,0.0,103.0,0.0
8407621ffffffff,14.0,0.0,0.0,6.0,0.0,2.0,0.0
8407623ffffffff,34.0,0.0,0.0,7.0,0.0,21.0,0.0
8407625ffffffff,13.0,0.0,0.0,0.0,0.0,11.0,0.0
8407627ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8407635ffffffff,40.0,0.0,0.0,2.0,0.0,16.0,0.0
8407703ffffffff,9.0,0.0,0.0,2.0,0.0,0.0,0.0
8407715ffffffff,31.0,0.0,3.0,6.0,0.0,2.0,0.0
