cell_id,Prionops caniceps,Prionops caniceps caniceps,Prionops caniceps harterti
8458839ffffffff,1.0,0.0,0.0
845894dffffffff,2.0,0.0,0.0
8458951ffffffff,1.0,0.0,0.0
8458957ffffffff,2.0,0.0,0.0
8458b27ffffffff,1.0,0.0,0.0
8458d33ffffffff,1.0,0.0,0.0
84599e1ffffffff,1.0,0.0,0.0
8475083ffffffff,1.0,0.0,0.0
8475085ffffffff,96.0,8.0,0.0
8475087ffffffff,25.0,4.0,0.0
84750c5ffffffff,1.0,0.0,0.0
84750d1ffffffff,85.0,5.0,0.0
84750d3ffffffff,1.0,0.0,0.0
84750d5ffffffff,4.0,0.0,0.0
84750d9ffffffff,2.0,0.0,0.0
84750ddffffffff,8.0,0.0,0.0
8475131ffffffff,1.0,0.0,0.0
847518dffffffff,1.0,0.0,0.0
8475191ffffffff,2.0,0.0,0.0
8475195ffffffff,1.0,0.0,0.0
84751d7ffffffff,1.0,0.0,0.0
847520bffffffff,2.0,0.0,0.0
8475295ffffffff,44.0,2.0,0.0
84752a1ffffffff,2.0,0.0,0.0
84752a3ffffffff,1.0,0.0,0.0
84752a5ffffffff,7.0,0.0,0.0
84752abffffffff,190.0,21.0,0.0
84752adffffffff,4.0,2.0,0.0
84752b1ffffffff,1.0,0.0,0.0
84752b5ffffffff,33.0,1.0,0.0
84752b7ffffffff,1.0,0.0,0.0
84752dbffffffff,1.0,0.0,0.0
8475769ffffffff,1.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0
8475a07ffffffff,3.0,0.0,0.0
8475a81ffffffff,2.0,0.0,0.0
8475a83ffffffff,3.0,0.0,0.0
8475b01ffffffff,2.0,0.0,0.0
8475b07ffffffff,2.0,0.0,0.0
8475b0dffffffff,3.0,0.0,0.0
8475b5dffffffff,1.0,0.0,0.0
8482181ffffffff,1.0,0.0,0.0
8482841ffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
848290bffffffff,1.0,0.0,0.0
