cell_id,Dicaeum ignipectus,Dicaeum ignipectus ignipectus/dolichorhynchum,Dicaeum ignipectus formosum
843c005ffffffff,1.0,0.0,0.0
843c027ffffffff,2.0,0.0,0.0
843c029ffffffff,17.0,0.0,0.0
843c02bffffffff,3.0,0.0,0.0
843c02dffffffff,7.0,0.0,0.0
843c063ffffffff,15.0,0.0,0.0
843c065ffffffff,1.0,0.0,0.0
843c067ffffffff,41.0,0.0,0.0
843c0adffffffff,1.0,0.0,0.0
843c581ffffffff,3.0,0.0,0.0
843c5b1ffffffff,1.0,0.0,0.0
843c5cbffffffff,2.0,0.0,0.0
843c5e3ffffffff,1.0,0.0,0.0
843cc31ffffffff,2.0,0.0,0.0
843ce31ffffffff,2.0,0.0,0.0
843ce4dffffffff,7.0,0.0,0.0
843ce85ffffffff,13.0,0.0,0.0
843d139ffffffff,1.0,0.0,0.0
843d1edffffffff,5.0,0.0,0.0
843d307ffffffff,10.0,0.0,0.0
843d345ffffffff,4.0,0.0,0.0
843d363ffffffff,1.0,0.0,0.0
843d36bffffffff,5.0,0.0,0.0
843dad1ffffffff,5.0,0.0,0.0
843dad9ffffffff,2.0,0.0,0.0
84404c5ffffffff,1.0,1.0,0.0
8440e37ffffffff,2.0,2.0,0.0
8441037ffffffff,19.0,0.0,0.0
8441653ffffffff,1.0,0.0,0.0
8441659ffffffff,2.0,0.0,0.0
8441719ffffffff,6.0,0.0,0.0
8441b31ffffffff,2.0,0.0,0.0
8441b35ffffffff,4.0,0.0,0.0
8441b3dffffffff,2.0,0.0,0.0
8465033ffffffff,15.0,0.0,0.0
8465039ffffffff,2.0,0.0,0.0
84651c1ffffffff,15.0,0.0,0.0
84651c9ffffffff,12.0,0.0,0.0
