cell_id,Pelecanus occidentalis,Pelecanus occidentalis carolinensis,Pelecanus occidentalis californicus,Pelecanus occidentalis occidentalis/murphyi,Pelecanus occidentalis urinator
822607fffffffff,4.0,0.0,0.0,0.0,0.0
82260ffffffffff,3.0,0.0,0.0,0.0,0.0
82261ffffffffff,4.0,0.0,0.0,0.0,0.0
82262ffffffffff,2.0,0.0,0.0,0.0,0.0
822647fffffffff,51.0,0.0,0.0,0.0,0.0
82264ffffffffff,50.0,0.0,0.0,0.0,0.0
822657fffffffff,96.0,0.0,0.0,0.0,0.0
82265ffffffffff,12.0,0.0,0.0,0.0,0.0
822667fffffffff,6.0,0.0,0.0,0.0,0.0
82266ffffffffff,16.0,0.0,0.0,0.0,0.0
82268ffffffffff,141.0,0.0,0.0,0.0,0.0
82269ffffffffff,19.0,0.0,0.0,0.0,0.0
8226affffffffff,3.0,0.0,0.0,0.0,0.0
8226c7fffffffff,16.0,0.0,0.0,0.0,0.0
8226cffffffffff,38.0,0.0,0.0,0.0,0.0
8226d7fffffffff,6.0,0.0,0.0,0.0,0.0
8226dffffffffff,23.0,0.0,0.0,0.0,0.0
8226e7fffffffff,39.0,2.0,0.0,0.0,0.0
8226effffffffff,6.0,0.0,0.0,0.0,0.0
8226f7fffffffff,6.0,0.0,0.0,0.0,0.0
822807fffffffff,35.0,0.0,12.0,0.0,0.0
822817fffffffff,3.0,0.0,0.0,0.0,0.0
82281ffffffffff,44.0,0.0,6.0,0.0,0.0
822837fffffffff,2169.0,0.0,915.0,0.0,0.0
82288ffffffffff,6.0,0.0,0.0,0.0,0.0
8228affffffffff,3.0,0.0,0.0,0.0,0.0
8228b7fffffffff,32.0,0.0,0.0,0.0,0.0
8228c7fffffffff,158.0,0.0,19.0,0.0,0.0
8228d7fffffffff,465.0,0.0,3.0,0.0,0.0
8228dffffffffff,107.0,0.0,2.0,0.0,0.0
8228e7fffffffff,2.0,0.0,0.0,0.0,0.0
8228f7fffffffff,41.0,0.0,0.0,0.0,0.0
822917fffffffff,89.0,0.0,14.0,0.0,0.0
82291ffffffffff,131.0,0.0,63.0,0.0,0.0
822987fffffffff,22.0,0.0,0.0,0.0,0.0
82298ffffffffff,2.0,0.0,0.0,0.0,0.0
82299ffffffffff,4.0,0.0,0.0,0.0,0.0
8229a7fffffffff,2346.0,0.0,667.0,0.0,0.0
8229affffffffff,64.0,0.0,4.0,0.0,0.0
8229b7fffffffff,245.0,0.0,0.0,0.0,0.0
822a07fffffffff,17.0,5.0,0.0,0.0,0.0
822a17fffffffff,373.0,19.0,0.0,0.0,0.0
822a1ffffffffff,13.0,4.0,0.0,0.0,0.0
822a37fffffffff,102.0,4.0,0.0,0.0,0.0
822a4ffffffffff,20.0,0.0,0.0,0.0,0.0
822a87fffffffff,19.0,2.0,0.0,0.0,0.0
822a8ffffffffff,20.0,2.0,0.0,0.0,0.0
822a97fffffffff,5.0,0.0,0.0,0.0,0.0
822a9ffffffffff,21.0,4.0,0.0,0.0,0.0
822aa7fffffffff,31.0,0.0,0.0,0.0,0.0
822aaffffffffff,1760.0,194.0,0.0,0.0,0.0
822ab7fffffffff,137.0,8.0,0.0,0.0,0.0
822ac7fffffffff,5.0,0.0,0.0,0.0,0.0
822ad7fffffffff,78.0,9.0,0.0,0.0,0.0
822af7fffffffff,162.0,17.0,0.0,0.0,0.0
822b0ffffffffff,9.0,0.0,0.0,0.0,0.0
822b1ffffffffff,3.0,0.0,0.0,0.0,0.0
822b2ffffffffff,5.0,0.0,0.0,0.0,0.0
822b87fffffffff,1.0,0.0,0.0,0.0,0.0
822b8ffffffffff,15.0,0.0,0.0,0.0,0.0
822b97fffffffff,2.0,0.0,0.0,0.0,0.0
822b9ffffffffff,35.0,0.0,0.0,0.0,0.0
822baffffffffff,8.0,0.0,0.0,0.0,0.0
824417fffffffff,85.0,36.0,0.0,0.0,0.0
82441ffffffffff,80.0,36.0,0.0,0.0,0.0
824427fffffffff,3.0,3.0,0.0,0.0,0.0
824447fffffffff,239.0,0.0,0.0,0.0,0.0
82444ffffffffff,19.0,0.0,0.0,0.0,0.0
824457fffffffff,187.0,12.0,0.0,0.0,0.0
82445ffffffffff,8.0,0.0,0.0,0.0,0.0
824467fffffffff,17.0,0.0,0.0,0.0,0.0
82446ffffffffff,151.0,16.0,0.0,0.0,0.0
824477fffffffff,52.0,0.0,0.0,0.0,0.0
824487fffffffff,24.0,0.0,0.0,4.0,0.0
8244a7fffffffff,22.0,13.0,0.0,0.0,0.0
