cell_id,Lepidocolaptes affinis,Lepidocolaptes affinis affinis/lignicida,Lepidocolaptes affinis neglectus
8348a2fffffffff,1.0,0.0,0.0
834990fffffffff,8.0,0.0,0.0
834996fffffffff,11.0,2.0,0.0
834998fffffffff,1.0,0.0,0.0
83499cfffffffff,3.0,1.0,0.0
8366a3fffffffff,3.0,0.0,0.0
8366b4fffffffff,8.0,0.0,2.0
836d05fffffffff,6.0,0.0,0.0
836d23fffffffff,7.0,0.0,0.0
836d29fffffffff,1.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d30fffffffff,2.0,0.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d60fffffffff,19.0,0.0,0.0
836d69fffffffff,4.0,0.0,0.0
