cell_id,Lybius leucocephalus,Lybius leucocephalus [leucocephalus Group],Lybius leucocephalus senex,Lybius leucocephalus leucogaster
84585a1ffffffff,2.0,0.0,0.0,0.0
8458e2dffffffff,10.0,0.0,0.0,0.0
846a5a1ffffffff,1.0,0.0,0.0,0.0
846a5a9ffffffff,30.0,1.0,0.0,0.0
846ac15ffffffff,14.0,1.0,0.0,0.0
846ac19ffffffff,3.0,0.0,0.0,0.0
846ac1dffffffff,4.0,2.0,0.0,0.0
846ac31ffffffff,42.0,0.0,0.0,0.0
846ac33ffffffff,3.0,0.0,0.0,0.0
846ac35ffffffff,14.0,5.0,0.0,0.0
846ac3dffffffff,45.0,9.0,0.0,0.0
846ac89ffffffff,10.0,2.0,0.0,0.0
846ac8dffffffff,3.0,0.0,0.0,0.0
846ac93ffffffff,7.0,0.0,0.0,0.0
846ac9bffffffff,6.0,0.0,0.0,0.0
846acc9ffffffff,2.0,0.0,0.0,0.0
846acd5ffffffff,4.0,2.0,0.0,0.0
846ace5ffffffff,100.0,6.0,0.0,0.0
846ad8bffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0,0.0
846adc9ffffffff,96.0,7.0,0.0,0.0
846add5ffffffff,2.0,1.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0,0.0
846add9ffffffff,8.0,6.0,0.0,0.0
846ae0bffffffff,1.0,0.0,0.0,0.0
846ae85ffffffff,13.0,5.0,0.0,0.0
846aea1ffffffff,8.0,3.0,0.0,0.0
846aea3ffffffff,61.0,11.0,0.0,0.0
846aeabffffffff,1.0,0.0,0.0,0.0
846aeb5ffffffff,8.0,2.0,0.0,0.0
846aee3ffffffff,3.0,0.0,0.0,0.0
847a409ffffffff,2.0,0.0,0.0,0.0
847a40bffffffff,3.0,0.0,0.0,0.0
847a40dffffffff,3.0,0.0,0.0,0.0
847a44bffffffff,3.0,0.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0,0.0
847a453ffffffff,2.0,0.0,0.0,0.0
847a455ffffffff,6.0,0.0,0.0,0.0
847a457ffffffff,1.0,0.0,0.0,0.0
847a459ffffffff,36.0,0.0,0.0,0.0
847a45dffffffff,2.0,0.0,0.0,0.0
847a481ffffffff,40.0,0.0,0.0,0.0
847a483ffffffff,45.0,0.0,0.0,0.0
847a489ffffffff,26.0,0.0,0.0,0.0
847a495ffffffff,2.0,0.0,0.0,0.0
847a4b1ffffffff,3.0,0.0,0.0,0.0
847a4c1ffffffff,5.0,0.0,0.0,0.0
847a4cdffffffff,6.0,0.0,0.0,0.0
847a4d1ffffffff,6.0,0.0,0.0,0.0
847a4d9ffffffff,3.0,0.0,0.0,0.0
847a4dbffffffff,3.0,0.0,0.0,0.0
847a603ffffffff,13.0,0.0,0.0,0.0
847a615ffffffff,1.0,0.0,0.0,0.0
847a61dffffffff,8.0,0.0,0.0,0.0
847a631ffffffff,1.0,0.0,0.0,0.0
847a633ffffffff,1.0,0.0,0.0,0.0
847a651ffffffff,2.0,0.0,0.0,0.0
847a653ffffffff,3.0,0.0,0.0,0.0
847a655ffffffff,2.0,0.0,0.0,0.0
847a657ffffffff,64.0,0.0,0.0,0.0
847a681ffffffff,64.0,0.0,0.0,0.0
847a683ffffffff,118.0,0.0,0.0,0.0
847a689ffffffff,6.0,0.0,0.0,0.0
847a68bffffffff,22.0,0.0,0.0,0.0
847a69dffffffff,3.0,0.0,0.0,0.0
847a6a1ffffffff,83.0,13.0,0.0,0.0
847a6a5ffffffff,7.0,2.0,0.0,0.0
847a6adffffffff,76.0,2.0,0.0,0.0
847a6b3ffffffff,3.0,0.0,0.0,0.0
847a6b7ffffffff,2.0,0.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0,0.0
847a6c1ffffffff,1.0,0.0,0.0,0.0
847a6c7ffffffff,1.0,0.0,0.0,0.0
847a6cbffffffff,2.0,0.0,0.0,0.0
847a6d1ffffffff,50.0,0.0,0.0,0.0
847a6d3ffffffff,5.0,0.0,0.0,0.0
847a6d5ffffffff,3.0,0.0,0.0,0.0
847a6d7ffffffff,2.0,0.0,0.0,0.0
847a6d9ffffffff,6.0,0.0,0.0,0.0
847a6dbffffffff,1.0,0.0,0.0,0.0
847a6e5ffffffff,373.0,0.0,61.0,0.0
847a6e7ffffffff,1.0,0.0,0.0,0.0
847a6e9ffffffff,3.0,0.0,0.0,0.0
847a6edffffffff,7.0,0.0,0.0,0.0
847b4b7ffffffff,2.0,0.0,0.0,0.0
8483263ffffffff,5.0,0.0,0.0,0.0
8496861ffffffff,1.0,0.0,0.0,0.0
8496901ffffffff,5.0,0.0,0.0,0.0
8496907ffffffff,15.0,0.0,0.0,0.0
8496921ffffffff,14.0,0.0,0.0,0.0
8496925ffffffff,40.0,3.0,0.0,0.0
849692bffffffff,13.0,0.0,0.0,0.0
8496931ffffffff,4.0,0.0,0.0,0.0
8496935ffffffff,46.0,3.0,0.0,0.0
849693bffffffff,2.0,0.0,0.0,0.0
849693dffffffff,38.0,3.0,0.0,0.0
8496b01ffffffff,2.0,0.0,0.0,0.0
8496b19ffffffff,26.0,0.0,0.0,0.0
8496b1bffffffff,4.0,0.0,0.0,0.0
