cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
828037fffffffff,3.0,0.0,3.0
82811ffffffffff,2.0,0.0,2.0
8281affffffffff,1.0,0.0,1.0
828b27fffffffff,28.0,28.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a96ffffffffff,3.0,0.0,0.0
82b25ffffffffff,7.0,1.0,0.0
82b267fffffffff,22.0,0.0,0.0
82b26ffffffffff,34.0,0.0,0.0
82b277fffffffff,4.0,0.0,0.0
82b347fffffffff,41.0,0.0,0.0
82b34ffffffffff,10.0,0.0,0.0
82b357fffffffff,5.0,0.0,0.0
82b35ffffffffff,6.0,1.0,0.0
82b36ffffffffff,2.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0
82c327fffffffff,2.0,0.0,0.0
82c32ffffffffff,48.0,0.0,0.0
82c347fffffffff,1.0,0.0,0.0
82c357fffffffff,8.0,0.0,0.0
82c377fffffffff,4.0,0.0,0.0
