cell_id,Gerygone palpebrosa,Gerygone palpebrosa [palpebrosa Group],Gerygone palpebrosa flavida
837289fffffffff,1.0,0.0,0.0
837291fffffffff,6.0,0.0,0.0
8372a2fffffffff,36.0,0.0,0.0
8372a3fffffffff,1.0,0.0,0.0
8372d2fffffffff,18.0,0.0,0.0
8372d5fffffffff,2.0,0.0,0.0
8372d9fffffffff,9.0,0.0,0.0
8372dbfffffffff,6.0,0.0,0.0
8372f2fffffffff,9.0,0.0,0.0
837398fffffffff,1.0,0.0,0.0
83739afffffffff,73.0,0.0,0.0
83739bfffffffff,7.0,0.0,0.0
839c00fffffffff,94.0,53.0,0.0
839c01fffffffff,29.0,8.0,0.0
839c04fffffffff,2.0,0.0,0.0
839c05fffffffff,195.0,16.0,12.0
839c0afffffffff,8.0,5.0,0.0
839c0efffffffff,21.0,10.0,0.0
839c19fffffffff,620.0,212.0,0.0
839c20fffffffff,73.0,0.0,2.0
839c21fffffffff,54.0,1.0,0.0
839c23fffffffff,1498.0,43.0,22.0
839c25fffffffff,64.0,0.0,0.0
839c2efffffffff,4.0,0.0,0.0
839c85fffffffff,6.0,0.0,0.0
839c8bfffffffff,2.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0
839c99fffffffff,2.0,0.0,0.0
839c9dfffffffff,6.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0
839caefffffffff,101.0,0.0,0.0
839cd3fffffffff,3.0,0.0,0.0
839ce2fffffffff,3.0,0.0,0.0
839ce4fffffffff,8.0,5.0,0.0
839ce6fffffffff,3.0,0.0,0.0
839cf5fffffffff,61.0,9.0,0.0
839d01fffffffff,49.0,0.0,0.0
839d08fffffffff,2.0,0.0,0.0
839d0afffffffff,8.0,0.0,0.0
839d0bfffffffff,39.0,1.0,2.0
839d0cfffffffff,39.0,0.0,2.0
839d0efffffffff,11.0,0.0,2.0
839d21fffffffff,63.0,0.0,5.0
839d23fffffffff,15.0,0.0,4.0
839d24fffffffff,23.0,0.0,0.0
839d25fffffffff,25.0,0.0,0.0
839d2afffffffff,8.0,0.0,2.0
83be88fffffffff,193.0,0.0,7.0
83be89fffffffff,11.0,0.0,2.0
83be8bfffffffff,104.0,0.0,1.0
