cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
8212cffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,60.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,253.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,351.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,174.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,124.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,81.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
