cell_id,Eubucco versicolor,Eubucco versicolor steerii,Eubucco versicolor glaucogularis,Eubucco versicolor versicolor
848b205ffffffff,1.0,0.0,0.0,0.0
848b211ffffffff,7.0,0.0,0.0,0.0
848b2c5ffffffff,58.0,0.0,0.0,0.0
848b2cdffffffff,27.0,0.0,0.0,0.0
848b2dbffffffff,15.0,0.0,0.0,0.0
848b2e9ffffffff,1.0,0.0,0.0,0.0
848b2ebffffffff,2.0,0.0,0.0,0.0
848b607ffffffff,1.0,0.0,0.0,0.0
848b611ffffffff,3.0,0.0,0.0,0.0
848b613ffffffff,7.0,0.0,0.0,0.0
848b617ffffffff,966.0,0.0,0.0,111.0
848b639ffffffff,9.0,0.0,0.0,0.0
848b63bffffffff,1.0,0.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0,0.0
848b6c1ffffffff,26.0,0.0,0.0,0.0
848b6c5ffffffff,36.0,0.0,0.0,0.0
848b6cdffffffff,393.0,0.0,0.0,26.0
848b6d9ffffffff,1.0,0.0,0.0,0.0
848b709ffffffff,1.0,0.0,0.0,0.0
848b759ffffffff,4.0,0.0,0.0,0.0
848b75bffffffff,32.0,0.0,0.0,0.0
848b75dffffffff,1.0,0.0,0.0,0.0
848e641ffffffff,58.0,0.0,0.0,0.0
848e643ffffffff,60.0,0.0,0.0,0.0
848e649ffffffff,53.0,0.0,0.0,0.0
848e64bffffffff,20.0,0.0,0.0,0.0
848e651ffffffff,47.0,0.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0,0.0
848e6c9ffffffff,10.0,0.0,0.0,0.0
848f401ffffffff,4.0,1.0,0.0,0.0
848f407ffffffff,2.0,0.0,0.0,0.0
848f421ffffffff,17.0,0.0,0.0,0.0
848f425ffffffff,6.0,0.0,0.0,0.0
848f42dffffffff,4.0,0.0,0.0,0.0
848f431ffffffff,1.0,0.0,0.0,0.0
848f439ffffffff,147.0,4.0,0.0,0.0
848f461ffffffff,3.0,0.0,0.0,0.0
848f463ffffffff,9.0,0.0,0.0,0.0
848f465ffffffff,31.0,0.0,0.0,0.0
848f467ffffffff,13.0,0.0,0.0,0.0
848f487ffffffff,4.0,0.0,0.0,0.0
848f4a5ffffffff,4.0,0.0,0.0,0.0
848f4adffffffff,19.0,5.0,0.0,0.0
848f4b3ffffffff,3.0,0.0,0.0,0.0
848f4c7ffffffff,1.0,0.0,0.0,0.0
848f4e5ffffffff,1.0,0.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0,0.0
848f5cbffffffff,1.0,0.0,0.0,0.0
848f5d3ffffffff,3.0,0.0,0.0,0.0
848f5d9ffffffff,5.0,0.0,0.0,0.0
848f5ddffffffff,17.0,0.0,0.0,0.0
848f733ffffffff,204.0,6.0,0.0,0.0
848f737ffffffff,1.0,0.0,0.0,0.0
84b3219ffffffff,1.0,0.0,0.0,0.0
84b324bffffffff,5.0,0.0,0.0,0.0
84b3251ffffffff,3.0,0.0,0.0,0.0
84b3253ffffffff,87.0,0.0,0.0,0.0
84b3259ffffffff,1.0,0.0,0.0,0.0
84b325bffffffff,8.0,0.0,0.0,0.0
84b325dffffffff,2.0,0.0,0.0,0.0
