cell_id,Ninox boobook,Ninox boobook [boobook Group],Ninox boobook lurida
849450bffffffff,4.0,0.0,0.0
849451dffffffff,13.0,3.0,0.0
8494f65ffffffff,2.0,0.0,0.0
84955a1ffffffff,2.0,2.0,0.0
849c215ffffffff,3.0,0.0,3.0
849c231ffffffff,2.0,0.0,2.0
849c237ffffffff,4.0,0.0,4.0
849c239ffffffff,2.0,0.0,2.0
84b9169ffffffff,2.0,0.0,0.0
84be089ffffffff,11.0,0.0,0.0
84be08dffffffff,7.0,0.0,0.0
84be0adffffffff,2.0,0.0,0.0
84be0c3ffffffff,2.0,2.0,0.0
84be181ffffffff,2.0,0.0,0.0
84be1a9ffffffff,2.0,0.0,0.0
84be45dffffffff,1.0,0.0,0.0
84be623ffffffff,4.0,0.0,0.0
84be627ffffffff,2.0,0.0,0.0
84be629ffffffff,1.0,0.0,0.0
84be62bffffffff,29.0,5.0,0.0
84be635ffffffff,4.0,2.0,0.0
84be63dffffffff,5.0,0.0,0.0
84be6e9ffffffff,1.0,0.0,0.0
84be72dffffffff,3.0,1.0,0.0
84be74bffffffff,1.0,0.0,0.0
84be767ffffffff,1.0,1.0,0.0
84beee5ffffffff,2.0,0.0,0.0
