cell_id,Icterus pyrrhopterus,Icterus pyrrhopterus tibialis,Icterus pyrrhopterus [pyrrhopterus Group]
838002fffffffff,1.0,1.0,0.0
838010fffffffff,6.0,6.0,0.0
838030fffffffff,1.0,1.0,0.0
838181fffffffff,2.0,2.0,0.0
838188fffffffff,6.0,6.0,0.0
838b20fffffffff,4.0,0.0,2.0
838b22fffffffff,2.0,0.0,2.0
838b2efffffffff,1.0,0.0,0.0
838b74fffffffff,2.0,2.0,0.0
83a81cfffffffff,3.0,0.0,0.0
83a840fffffffff,2.0,0.0,0.0
83a8a3fffffffff,2.0,0.0,0.0
83a8a9fffffffff,3.0,0.0,3.0
83a8acfffffffff,2.0,2.0,0.0
83a8c2fffffffff,1.0,0.0,1.0
83a944fffffffff,4.0,0.0,4.0
83a953fffffffff,2.0,0.0,2.0
83a960fffffffff,2.0,0.0,2.0
83a961fffffffff,102.0,0.0,0.0
83a963fffffffff,2.0,0.0,2.0
83a965fffffffff,31.0,0.0,0.0
83a96cfffffffff,20.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83b248fffffffff,5.0,0.0,0.0
83b249fffffffff,51.0,0.0,0.0
83b24dfffffffff,463.0,0.0,0.0
83b25dfffffffff,5.0,0.0,0.0
83b261fffffffff,5.0,0.0,0.0
83b268fffffffff,17.0,0.0,0.0
83b269fffffffff,49.0,0.0,0.0
83b26bfffffffff,60.0,0.0,0.0
83b26dfffffffff,75.0,0.0,0.0
83b270fffffffff,3.0,0.0,0.0
83b272fffffffff,2.0,0.0,0.0
83b2e9fffffffff,39.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0
83b362fffffffff,3.0,0.0,3.0
83b366fffffffff,4.0,0.0,0.0
83c2c5fffffffff,1.0,0.0,1.0
83c2c9fffffffff,58.0,0.0,0.0
83c2cafffffffff,6.0,0.0,0.0
83c2cdfffffffff,84.0,0.0,0.0
83c2cefffffffff,2.0,0.0,2.0
83c2d0fffffffff,1.0,0.0,0.0
83c2e2fffffffff,5.0,0.0,5.0
83c2e3fffffffff,5.0,0.0,4.0
83c2e9fffffffff,8.0,0.0,0.0
83c2eafffffffff,3.0,0.0,3.0
83c2ebfffffffff,7.0,0.0,0.0
83c2f3fffffffff,6.0,0.0,0.0
