cell_id,Dicaeum ignipectus,Dicaeum ignipectus ignipectus/dolichorhynchum,Dicaeum ignipectus formosum
823c07fffffffff,87.0,0.0,0.0
823c0ffffffffff,1.0,0.0,0.0
823c5ffffffffff,7.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0
823ce7fffffffff,9.0,0.0,0.0
823ceffffffffff,13.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0
823d1ffffffffff,4.0,0.0,0.0
823d37fffffffff,20.0,0.0,0.0
823daffffffffff,7.0,0.0,0.0
82404ffffffffff,1.0,1.0,0.0
8240e7fffffffff,2.0,2.0,0.0
82411ffffffffff,19.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0
824177fffffffff,6.0,0.0,0.0
8241b7fffffffff,8.0,0.0,0.0
826507fffffffff,17.0,0.0,0.0
82651ffffffffff,27.0,0.0,0.0
