cell_id,Cnemathraupis eximia,Cnemathraupis eximia eximia/zimmeri,Cnemathraupis eximia chloronota/cyanocalyptra
846609dffffffff,3.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660ddffffffff,17.0,0.0,0.0
8466181ffffffff,7.0,0.0,0.0
8466187ffffffff,5.0,0.0,0.0
8466197ffffffff,7.0,0.0,0.0
84661b1ffffffff,8.0,0.0,0.0
84661b9ffffffff,3.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0
8466c61ffffffff,5.0,0.0,0.0
8466c69ffffffff,20.0,0.0,0.0
8466d0bffffffff,3.0,0.0,0.0
8466d11ffffffff,8.0,0.0,0.0
8466d15ffffffff,2.0,0.0,0.0
8466d17ffffffff,10.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d31ffffffff,1028.0,0.0,0.0
8466d33ffffffff,34.0,0.0,0.0
8466d39ffffffff,1.0,0.0,0.0
8466d3bffffffff,7.0,0.0,0.0
8466d53ffffffff,2.0,0.0,0.0
8466da5ffffffff,2.0,0.0,0.0
8466de5ffffffff,10.0,0.0,0.0
8466dedffffffff,247.0,0.0,0.0
8466e09ffffffff,31.0,0.0,0.0
8466e0bffffffff,5.0,0.0,0.0
8466e2dffffffff,26.0,0.0,0.0
8466e41ffffffff,13.0,0.0,0.0
8466e43ffffffff,271.0,0.0,0.0
8466e47ffffffff,20.0,0.0,0.0
8466e49ffffffff,1.0,0.0,0.0
8466e4bffffffff,1.0,0.0,0.0
8466e55ffffffff,26.0,0.0,0.0
8466e5dffffffff,2.0,0.0,0.0
8466e61ffffffff,5.0,0.0,0.0
8466e65ffffffff,35.0,0.0,0.0
8466e67ffffffff,83.0,0.0,0.0
8466e6dffffffff,138.0,0.0,0.0
8466f5bffffffff,6.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f2ddffffffff,1.0,0.0,0.0
848f54dffffffff,18.0,0.0,0.0
848f721ffffffff,13.0,0.0,0.0
848f727ffffffff,14.0,0.0,0.0
848f72dffffffff,3.0,0.0,0.0
848f767ffffffff,39.0,0.0,0.0
848f769ffffffff,5.0,0.0,0.0
848f76dffffffff,9.0,0.0,0.0
