cell_id,Penelope jacquacu,Penelope jacquacu granti,Penelope jacquacu [jacquacu Group]
835f08fffffffff,8.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f0dfffffffff,3.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,11.0,0.0,0.0
835f2bfffffffff,683.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f40fffffffff,10.0,2.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f54fffffffff,5.0,0.0,0.0
835f63fffffffff,1.0,0.0,0.0
835f68fffffffff,9.0,0.0,0.0
835f71fffffffff,31.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0
836640fffffffff,2.0,0.0,0.0
836641fffffffff,43.0,0.0,0.0
836646fffffffff,2.0,0.0,0.0
83664efffffffff,3.0,0.0,0.0
836650fffffffff,4.0,0.0,0.0
836652fffffffff,73.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836655fffffffff,1.0,0.0,0.0
836656fffffffff,6.0,0.0,0.0
83665afffffffff,43.0,0.0,0.0
83665bfffffffff,17.0,0.0,0.0
83665efffffffff,59.0,0.0,0.0
836663fffffffff,4.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666bfffffffff,1.0,0.0,0.0
83666efffffffff,16.0,0.0,0.0
8366c0fffffffff,27.0,0.0,0.0
8366c1fffffffff,1.0,0.0,0.0
8366c2fffffffff,178.0,0.0,0.0
8366c3fffffffff,8.0,0.0,0.0
8366c5fffffffff,88.0,0.0,0.0
8366c9fffffffff,6.0,0.0,0.0
8366cefffffffff,60.0,0.0,0.0
8366d1fffffffff,128.0,0.0,0.0
8366d8fffffffff,153.0,0.0,2.0
8366d9fffffffff,1.0,0.0,0.0
8366dafffffffff,30.0,0.0,0.0
8366dbfffffffff,9.0,0.0,0.0
8366dcfffffffff,680.0,0.0,36.0
8366ddfffffffff,104.0,0.0,6.0
8366defffffffff,144.0,0.0,4.0
8366e0fffffffff,39.0,0.0,0.0
8366e1fffffffff,93.0,0.0,0.0
8366e3fffffffff,69.0,0.0,0.0
8366e5fffffffff,199.0,0.0,0.0
8366e8fffffffff,8.0,0.0,0.0
8366e9fffffffff,11.0,0.0,0.0
8366eafffffffff,14.0,0.0,0.0
8366ecfffffffff,261.0,0.0,0.0
8366eefffffffff,190.0,0.0,0.0
83814dfffffffff,8.0,0.0,0.0
838a00fffffffff,2.0,0.0,0.0
838a04fffffffff,8.0,0.0,1.0
838a05fffffffff,30.0,0.0,1.0
838a10fffffffff,17.0,0.0,0.0
838a14fffffffff,1.0,0.0,0.0
838a15fffffffff,9.0,0.0,0.0
838a1afffffffff,16.0,0.0,0.0
838a21fffffffff,8.0,0.0,0.0
838a23fffffffff,2.0,0.0,1.0
838a24fffffffff,10.0,0.0,1.0
838a25fffffffff,2.0,0.0,0.0
838a2efffffffff,2.0,0.0,0.0
838a31fffffffff,46.0,0.0,4.0
838a33fffffffff,19.0,0.0,0.0
838a45fffffffff,53.0,0.0,0.0
838a4bfffffffff,4.0,0.0,0.0
838a63fffffffff,11.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,18.0,0.0,0.0
838a6dfffffffff,63.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0
838aa8fffffffff,4.0,0.0,0.0
838aaafffffffff,7.0,0.0,0.0
838ae5fffffffff,2.0,0.0,0.0
838af0fffffffff,5.0,0.0,0.0
838af1fffffffff,2.0,0.0,0.0
838af2fffffffff,5.0,0.0,0.0
838af4fffffffff,16.0,0.0,4.0
838af6fffffffff,2.0,0.0,2.0
838b00fffffffff,2.0,0.0,0.0
838b05fffffffff,9.0,0.0,0.0
838b09fffffffff,2.0,0.0,0.0
838b0cfffffffff,25.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0
838b11fffffffff,6.0,0.0,0.0
838b1afffffffff,1.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1dfffffffff,8.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0
838b21fffffffff,6.0,0.0,0.0
838b22fffffffff,52.0,0.0,0.0
838b23fffffffff,8.0,0.0,0.0
838b28fffffffff,3.0,0.0,0.0
838b2cfffffffff,6.0,0.0,0.0
838b2efffffffff,9.0,0.0,0.0
838b40fffffffff,55.0,0.0,5.0
838b44fffffffff,404.0,0.0,49.0
838b45fffffffff,31.0,0.0,0.0
838b46fffffffff,37.0,0.0,0.0
838b48fffffffff,5.0,0.0,0.0
838b4efffffffff,8.0,0.0,0.0
838b51fffffffff,5.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b53fffffffff,3.0,0.0,0.0
838b56fffffffff,7.0,0.0,0.0
838b5cfffffffff,19.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0
838b5efffffffff,1.0,0.0,0.0
838b61fffffffff,563.0,0.0,24.0
838b62fffffffff,103.0,0.0,16.0
838b63fffffffff,414.0,0.0,20.0
838b69fffffffff,7.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0
838b6efffffffff,167.0,0.0,6.0
838b70fffffffff,2.0,0.0,0.0
838b71fffffffff,435.0,0.0,22.0
838b74fffffffff,59.0,0.0,0.0
838b75fffffffff,17.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0
838b83fffffffff,4.0,0.0,0.0
838b84fffffffff,17.0,0.0,0.0
838b88fffffffff,32.0,0.0,0.0
838b8afffffffff,6.0,0.0,0.0
838b99fffffffff,45.0,0.0,0.0
838b9dfffffffff,331.0,0.0,16.0
838ba0fffffffff,1.0,0.0,0.0
838ba4fffffffff,2.0,0.0,2.0
838ba6fffffffff,4.0,0.0,0.0
838e64fffffffff,11.0,0.0,0.0
838e65fffffffff,8.0,0.0,0.0
838e6cfffffffff,4.0,0.0,0.0
838f40fffffffff,22.0,0.0,0.0
838f43fffffffff,5.0,0.0,0.0
838f46fffffffff,22.0,0.0,0.0
838f48fffffffff,21.0,0.0,0.0
838f4afffffffff,25.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0
838f4cfffffffff,6.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0
838f5dfffffffff,6.0,0.0,0.0
838f61fffffffff,3.0,0.0,0.0
838f65fffffffff,25.0,0.0,0.0
838f6bfffffffff,8.0,0.0,3.0
838f6efffffffff,3.0,0.0,0.0
838f74fffffffff,15.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0
