cell_id,Cyanocorax yncas,Cyanocorax yncas [luxuosus Group],Cyanocorax yncas [yncas Group]
8429a4dffffffff,17.0,1.0,0.0
84446cbffffffff,6.0,0.0,0.0
8445201ffffffff,4.0,0.0,0.0
844520dffffffff,5.0,0.0,0.0
8445225ffffffff,10.0,0.0,0.0
844522dffffffff,2.0,0.0,0.0
8445243ffffffff,4.0,0.0,0.0
8445247ffffffff,19.0,0.0,0.0
8445251ffffffff,1.0,0.0,0.0
8445257ffffffff,5.0,0.0,0.0
8445261ffffffff,11.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0
8445281ffffffff,3.0,0.0,0.0
84452a5ffffffff,4.0,0.0,0.0
84452adffffffff,2.0,0.0,0.0
84452c3ffffffff,5.0,0.0,0.0
84452e1ffffffff,1.0,0.0,0.0
8448121ffffffff,4.0,0.0,0.0
844880dffffffff,1.0,0.0,0.0
8448821ffffffff,2.0,0.0,0.0
8448825ffffffff,1.0,0.0,0.0
8448833ffffffff,3.0,0.0,0.0
8448835ffffffff,1.0,0.0,0.0
84488e9ffffffff,20.0,0.0,0.0
84488edffffffff,2.0,1.0,0.0
8448903ffffffff,3.0,0.0,0.0
844890bffffffff,2.0,0.0,0.0
844891dffffffff,1.0,0.0,0.0
8448951ffffffff,10.0,0.0,0.0
8448953ffffffff,13.0,0.0,0.0
8448957ffffffff,5.0,0.0,0.0
8448959ffffffff,112.0,1.0,0.0
844895bffffffff,16.0,0.0,0.0
84489c1ffffffff,2.0,0.0,0.0
84489c9ffffffff,9.0,0.0,0.0
84489cdffffffff,5.0,0.0,0.0
8448a07ffffffff,10.0,0.0,0.0
8448a1dffffffff,2.0,0.0,0.0
8448a21ffffffff,3.0,0.0,0.0
8448b13ffffffff,12.0,0.0,0.0
8448b15ffffffff,3.0,0.0,0.0
8448b31ffffffff,1.0,1.0,0.0
8448b39ffffffff,4.0,0.0,0.0
84498ebffffffff,7.0,1.0,0.0
844993dffffffff,1.0,0.0,0.0
844994bffffffff,5.0,0.0,0.0
8449959ffffffff,19.0,0.0,0.0
844995bffffffff,15.0,0.0,0.0
8449961ffffffff,2.0,0.0,0.0
8449963ffffffff,9.0,2.0,0.0
8449981ffffffff,2.0,0.0,0.0
8449987ffffffff,3.0,3.0,0.0
84499cdffffffff,1.0,0.0,0.0
8449a23ffffffff,2.0,0.0,0.0
8449a27ffffffff,2.0,0.0,0.0
8449b57ffffffff,1.0,1.0,0.0
8466089ffffffff,6.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0
8466183ffffffff,2.0,0.0,2.0
846629dffffffff,4.0,0.0,0.0
8466c41ffffffff,3.0,0.0,0.0
8466de1ffffffff,13.0,0.0,11.0
8466de3ffffffff,4.0,0.0,4.0
8466dedffffffff,2.0,0.0,2.0
8466e03ffffffff,10.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0
8466e55ffffffff,5.0,0.0,5.0
8466e59ffffffff,2.0,0.0,2.0
8466e67ffffffff,3.0,0.0,3.0
8466e6dffffffff,2.0,0.0,0.0
8466f19ffffffff,2.0,0.0,2.0
8467413ffffffff,97.0,0.0,7.0
8467417ffffffff,1.0,0.0,1.0
8467523ffffffff,2.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0
846d231ffffffff,4.0,1.0,0.0
846d239ffffffff,2.0,2.0,0.0
846d23bffffffff,8.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0
846d2a3ffffffff,2.0,0.0,0.0
846d2c3ffffffff,2.0,0.0,0.0
846d2d1ffffffff,1.0,0.0,0.0
846d305ffffffff,2.0,2.0,0.0
846d31bffffffff,2.0,0.0,0.0
848b2c5ffffffff,1.0,0.0,1.0
848e619ffffffff,4.0,0.0,4.0
848e62dffffffff,3.0,0.0,2.0
848f293ffffffff,14.0,0.0,0.0
848f401ffffffff,7.0,0.0,7.0
848f4b3ffffffff,29.0,0.0,0.0
848f553ffffffff,5.0,0.0,5.0
848f589ffffffff,4.0,0.0,1.0
