cell_id,Hirundinea ferruginea,Hirundinea ferruginea ferruginea/sclateri,Hirundinea ferruginea bellicosa/pallidior
84662b7ffffffff,2.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0
8466c4dffffffff,2.0,0.0,0.0
8466de1ffffffff,11.0,8.0,0.0
8466e0dffffffff,3.0,0.0,0.0
8466e21ffffffff,2.0,0.0,0.0
84675a5ffffffff,1.0,1.0,0.0
848124dffffffff,1.0,0.0,1.0
84812d1ffffffff,2.0,0.0,2.0
8481363ffffffff,1.0,0.0,1.0
8481ad1ffffffff,1.0,0.0,1.0
848b229ffffffff,1.0,0.0,0.0
848b52dffffffff,2.0,0.0,0.0
848e6c9ffffffff,1.0,0.0,0.0
848f293ffffffff,4.0,0.0,0.0
84a88ebffffffff,1.0,0.0,1.0
84a92cbffffffff,3.0,0.0,0.0
84a946bffffffff,1.0,0.0,0.0
84a95d9ffffffff,4.0,0.0,0.0
84a95edffffffff,2.0,0.0,0.0
84a9627ffffffff,2.0,0.0,0.0
84b242bffffffff,3.0,0.0,0.0
84b2435ffffffff,9.0,0.0,0.0
84b2745ffffffff,1.0,0.0,0.0
84b2757ffffffff,11.0,0.0,0.0
84b2ec1ffffffff,2.0,0.0,0.0
84b2eebffffffff,9.0,0.0,0.0
84b35a7ffffffff,1.0,0.0,1.0
84b3733ffffffff,7.0,0.0,0.0
84c2d85ffffffff,2.0,0.0,0.0
84ce8a9ffffffff,4.0,0.0,1.0
84ce937ffffffff,4.0,0.0,0.0
