cell_id,Ploceus albinucha,Ploceus albinucha albinucha,Ploceus albinucha maxwelli/holomelas
825887fffffffff,1.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0
8258d7fffffffff,2.0,0.0,2.0
826ac7fffffffff,24.0,0.0,0.0
826adffffffffff,3.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0
82750ffffffffff,250.0,15.0,0.0
82751ffffffffff,3.0,0.0,0.0
82752ffffffffff,259.0,31.0,0.0
827577fffffffff,1.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,17.0,0.0,0.0
828287fffffffff,3.0,0.0,0.0
82828ffffffffff,3.0,0.0,0.0
8282affffffffff,6.0,0.0,2.0
8282d7fffffffff,6.0,0.0,0.0
