cell_id,Luscinia svecica,Luscinia svecica [svecica Group],Luscinia svecica azuricollis,Luscinia svecica cyanecula/namnetum,Luscinia svecica magna
8407739ffffffff,3.0,3.0,0.0,0.0,0.0
8408193ffffffff,2.0,2.0,0.0,0.0,0.0
8408829ffffffff,2.0,2.0,0.0,0.0,0.0
8408901ffffffff,3.0,0.0,0.0,0.0,0.0
8408a15ffffffff,2.0,2.0,0.0,0.0,0.0
8408ec1ffffffff,2.0,2.0,0.0,0.0,0.0
84098e3ffffffff,2.0,2.0,0.0,0.0,0.0
8409a09ffffffff,8.0,2.0,0.0,0.0,0.0
8409a4dffffffff,3.0,2.0,0.0,0.0,0.0
8409a69ffffffff,1.0,0.0,0.0,0.0,0.0
840c141ffffffff,1.0,1.0,0.0,0.0,0.0
840c147ffffffff,8.0,2.0,0.0,0.0,0.0
840c34bffffffff,4.0,0.0,0.0,0.0,0.0
840c809ffffffff,2.0,0.0,0.0,0.0,0.0
840ca43ffffffff,32.0,0.0,0.0,0.0,0.0
840d093ffffffff,1.0,0.0,0.0,0.0,0.0
840d0d3ffffffff,2.0,0.0,0.0,0.0,0.0
840d1b7ffffffff,3.0,0.0,0.0,0.0,0.0
840d569ffffffff,4.0,0.0,0.0,0.0,0.0
840d605ffffffff,2.0,0.0,0.0,0.0,0.0
840d629ffffffff,9.0,0.0,0.0,0.0,0.0
840d709ffffffff,1.0,1.0,0.0,0.0,0.0
840d751ffffffff,12.0,0.0,0.0,0.0,0.0
8411813ffffffff,2.0,0.0,0.0,0.0,0.0
8416507ffffffff,6.0,0.0,0.0,0.0,0.0
8418287ffffffff,2.0,0.0,0.0,0.0,0.0
84182abffffffff,1.0,0.0,0.0,0.0,0.0
8418495ffffffff,23.0,0.0,0.0,3.0,0.0
84184b9ffffffff,5.0,0.0,0.0,0.0,0.0
8418593ffffffff,2.0,0.0,0.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0,0.0,0.0
84185b3ffffffff,5.0,0.0,0.0,0.0,0.0
84185b5ffffffff,4.0,0.0,0.0,0.0,0.0
84186c3ffffffff,2.0,0.0,0.0,0.0,0.0
8418729ffffffff,4.0,0.0,0.0,0.0,0.0
8419401ffffffff,10.0,4.0,0.0,0.0,0.0
8419405ffffffff,5.0,0.0,0.0,0.0,0.0
841941dffffffff,2.0,2.0,0.0,0.0,0.0
841943bffffffff,2.0,0.0,0.0,2.0,0.0
8419485ffffffff,2.0,0.0,0.0,2.0,0.0
84194a1ffffffff,4.0,0.0,0.0,4.0,0.0
84194b9ffffffff,2.0,0.0,0.0,0.0,0.0
84194c5ffffffff,2.0,2.0,0.0,0.0,0.0
84194dbffffffff,2.0,0.0,0.0,2.0,0.0
84194ddffffffff,1.0,0.0,0.0,0.0,0.0
84194e5ffffffff,1.0,0.0,0.0,0.0,0.0
84194ebffffffff,1.0,0.0,0.0,1.0,0.0
8419581ffffffff,11.0,0.0,0.0,8.0,0.0
8419693ffffffff,2.0,2.0,0.0,0.0,0.0
8419695ffffffff,4.0,0.0,0.0,0.0,0.0
84196d9ffffffff,2.0,0.0,0.0,0.0,0.0
8419739ffffffff,4.0,2.0,0.0,0.0,0.0
841e053ffffffff,1.0,0.0,0.0,0.0,0.0
841e05bffffffff,4.0,0.0,0.0,0.0,0.0
841e063ffffffff,9.0,0.0,0.0,0.0,0.0
841e067ffffffff,68.0,0.0,0.0,0.0,0.0
841e0c3ffffffff,26.0,0.0,0.0,1.0,0.0
841e0e7ffffffff,7.0,0.0,0.0,0.0,0.0
841e12bffffffff,1.0,0.0,0.0,0.0,0.0
841e133ffffffff,2.0,0.0,0.0,0.0,0.0
841e269ffffffff,4.0,0.0,0.0,0.0,0.0
841e281ffffffff,3.0,0.0,0.0,0.0,0.0
841e2e3ffffffff,1.0,0.0,0.0,0.0,0.0
841e30bffffffff,2.0,0.0,0.0,0.0,0.0
841e30dffffffff,1.0,0.0,0.0,0.0,0.0
841e319ffffffff,2.0,0.0,0.0,0.0,0.0
841e34bffffffff,22.0,0.0,0.0,0.0,0.0
841e355ffffffff,2.0,0.0,0.0,0.0,0.0
841e35bffffffff,11.0,11.0,0.0,0.0,0.0
841e36bffffffff,1.0,0.0,0.0,0.0,0.0
841e513ffffffff,1.0,0.0,0.0,1.0,0.0
841e833ffffffff,4.0,0.0,0.0,0.0,0.0
841ea19ffffffff,8.0,0.0,0.0,0.0,0.0
841ea93ffffffff,1.0,0.0,0.0,0.0,0.0
