cell_id,Cyornis omissus,Cyornis omissus [omissus Group],Cyornis omissus djampeanus
8268c7fffffffff,1.0,0.0,0.0
8268cffffffffff,127.0,46.0,0.0
8268d7fffffffff,144.0,66.0,0.0
8268dffffffffff,12.0,9.0,0.0
829507fffffffff,17.0,8.0,0.0
82951ffffffffff,18.0,0.0,14.0
829527fffffffff,5.0,3.0,0.0
