cell_id,Gallirallus woodfordi,Gallirallus woodfordi tertius,Gallirallus woodfordi immaculatus,Gallirallus woodfordi woodfordi
827687fffffffff,14.0,0.0,0.0,0.0
82768ffffffffff,1.0,0.0,0.0,0.0
829ed7fffffffff,2.0,0.0,0.0,1.0
829edffffffffff,24.0,0.0,0.0,3.0
