cell_id,Aulacorhynchus sulcatus,Aulacorhynchus sulcatus calorhynchus,Aulacorhynchus sulcatus sulcatus/erythrognathus
825f4ffffffffff,122.0,0.0,4.0
825f5ffffffffff,1.0,0.0,1.0
82660ffffffffff,23.0,6.0,0.0
826627fffffffff,1229.0,348.0,0.0
82662ffffffffff,72.0,31.0,0.0
826747fffffffff,671.0,3.0,13.0
82674ffffffffff,890.0,2.0,14.0
826757fffffffff,68.0,0.0,0.0
82675ffffffffff,157.0,8.0,2.0
