cell_id,Pyriglena maura,Pyriglena maura pacifica,Pyriglena maura castanoptera,Pyriglena maura picea,Pyriglena maura [maura Group]
8366c0fffffffff,1.0,0.0,0.0,0.0,0.0
8366c4fffffffff,26.0,0.0,0.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0,0.0,0.0
8366d3fffffffff,46.0,3.0,0.0,0.0,0.0
8366defffffffff,9.0,0.0,9.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0,0.0,0.0
838b61fffffffff,10.0,0.0,0.0,0.0,4.0
838b69fffffffff,15.0,0.0,0.0,0.0,0.0
838b6efffffffff,2.0,0.0,0.0,0.0,0.0
838f0dfffffffff,5.0,3.0,0.0,0.0,0.0
838f2cfffffffff,1.0,1.0,0.0,0.0,0.0
838f70fffffffff,1.0,0.0,1.0,0.0,0.0
