cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
826a5ffffffffff,6.0,0.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0,1.0
827a47fffffffff,1.0,0.0,0.0,1.0
827a6ffffffffff,7.0,0.0,0.0,0.0
829607fffffffff,1.0,0.0,0.0,0.0
829697fffffffff,4.0,0.0,0.0,0.0
8296a7fffffffff,1.0,0.0,0.0,0.0
82ac87fffffffff,3.0,0.0,0.0,0.0
82bc6ffffffffff,3.0,0.0,0.0,3.0
82bc8ffffffffff,3.0,0.0,0.0,0.0
82bcc7fffffffff,5.0,0.0,0.0,0.0
82bcdffffffffff,6.0,0.0,0.0,1.0
82bce7fffffffff,3.0,0.0,0.0,2.0
82bcf7fffffffff,12.0,0.0,0.0,0.0
