cell_id,Milvus milvus,Milvus milvus milvus,Milvus milvus fasciicauda
8408809ffffffff,6.0,0.0,0.0
8408861ffffffff,3.0,3.0,0.0
8408867ffffffff,4.0,0.0,0.0
840886bffffffff,1.0,0.0,0.0
840895bffffffff,4.0,4.0,0.0
8408961ffffffff,2.0,2.0,0.0
8408965ffffffff,17.0,6.0,0.0
840896bffffffff,2.0,0.0,0.0
8408b05ffffffff,3.0,0.0,0.0
8408b0dffffffff,17.0,3.0,0.0
8408b11ffffffff,2.0,0.0,0.0
8408b13ffffffff,2.0,0.0,0.0
8408b15ffffffff,2.0,0.0,0.0
8408b2dffffffff,1.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0
8408b3dffffffff,1.0,0.0,0.0
8408b41ffffffff,1.0,0.0,0.0
8408b47ffffffff,2.0,0.0,0.0
8408b4dffffffff,2.0,0.0,0.0
8408b6bffffffff,2.0,2.0,0.0
8408b6dffffffff,3.0,3.0,0.0
84099b1ffffffff,1.0,0.0,0.0
8418289ffffffff,2.0,0.0,0.0
8418299ffffffff,8.0,0.0,0.0
84182c1ffffffff,6.0,0.0,0.0
84182c3ffffffff,166.0,6.0,0.0
84182c9ffffffff,3.0,0.0,0.0
84182cbffffffff,71.0,4.0,0.0
84182d3ffffffff,8.0,0.0,0.0
84182d9ffffffff,2.0,0.0,0.0
84182dbffffffff,6.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0
841846dffffffff,3.0,0.0,0.0
8418491ffffffff,134.0,0.0,0.0
8418493ffffffff,386.0,5.0,0.0
8418495ffffffff,471.0,2.0,0.0
8418497ffffffff,494.0,14.0,0.0
841849bffffffff,25.0,0.0,0.0
841849dffffffff,50.0,0.0,0.0
84184a3ffffffff,4.0,0.0,0.0
84184b1ffffffff,191.0,0.0,0.0
84184b3ffffffff,116.0,0.0,0.0
84184b5ffffffff,57.0,0.0,0.0
84184b7ffffffff,137.0,0.0,0.0
84184b9ffffffff,60.0,0.0,0.0
84184bbffffffff,620.0,0.0,0.0
84184bdffffffff,10.0,0.0,0.0
84184d1ffffffff,1.0,0.0,0.0
84184d5ffffffff,9.0,0.0,0.0
84184ddffffffff,5.0,0.0,0.0
8418593ffffffff,6.0,0.0,0.0
8418597ffffffff,4.0,0.0,0.0
84185b1ffffffff,1.0,0.0,0.0
84185b3ffffffff,12.0,0.0,0.0
84185bbffffffff,12.0,0.0,0.0
8418697ffffffff,2.0,0.0,0.0
84186a1ffffffff,2.0,0.0,0.0
84186a3ffffffff,2.0,0.0,0.0
84186a5ffffffff,2.0,0.0,0.0
84186abffffffff,2.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0
84186d1ffffffff,1.0,1.0,0.0
84186d5ffffffff,3.0,0.0,0.0
84186d7ffffffff,2.0,0.0,0.0
84186dbffffffff,2.0,0.0,0.0
84186ddffffffff,1.0,0.0,0.0
841870dffffffff,8.0,0.0,0.0
841873bffffffff,3.0,0.0,0.0
8418743ffffffff,1.0,0.0,0.0
8418747ffffffff,3.0,0.0,0.0
841875dffffffff,3.0,0.0,0.0
8419081ffffffff,2.0,0.0,0.0
8419099ffffffff,3.0,0.0,0.0
841909bffffffff,4.0,0.0,0.0
841909dffffffff,1.0,0.0,0.0
84190cbffffffff,18.0,2.0,0.0
84190d1ffffffff,5.0,2.0,0.0
84190d3ffffffff,18.0,6.0,0.0
84190d5ffffffff,2.0,0.0,0.0
84190d7ffffffff,1.0,0.0,0.0
84190d9ffffffff,91.0,6.0,0.0
84190dbffffffff,2.0,0.0,0.0
84190ddffffffff,39.0,17.0,0.0
8419283ffffffff,1.0,0.0,0.0
8419293ffffffff,1.0,0.0,0.0
84192a7ffffffff,2.0,0.0,0.0
84192b1ffffffff,33.0,9.0,0.0
84192b3ffffffff,5.0,0.0,0.0
84192b5ffffffff,23.0,21.0,0.0
84192b7ffffffff,88.0,30.0,0.0
8419401ffffffff,23.0,0.0,0.0
8419403ffffffff,11.0,0.0,0.0
8419405ffffffff,40.0,1.0,0.0
8419407ffffffff,36.0,0.0,0.0
841940dffffffff,6.0,0.0,0.0
8419411ffffffff,225.0,36.0,0.0
8419413ffffffff,82.0,1.0,0.0
8419415ffffffff,1168.0,235.0,0.0
8419417ffffffff,41.0,15.0,0.0
841941bffffffff,18.0,7.0,0.0
841941dffffffff,5.0,0.0,0.0
8419421ffffffff,102.0,14.0,0.0
8419423ffffffff,25.0,5.0,0.0
8419425ffffffff,4.0,0.0,0.0
8419427ffffffff,50.0,16.0,0.0
8419429ffffffff,40.0,0.0,0.0
841942bffffffff,23.0,16.0,0.0
841942dffffffff,231.0,23.0,0.0
8419431ffffffff,220.0,47.0,0.0
8419433ffffffff,223.0,16.0,0.0
8419435ffffffff,28.0,5.0,0.0
8419437ffffffff,699.0,23.0,0.0
8419439ffffffff,20.0,1.0,0.0
841943bffffffff,84.0,26.0,0.0
841943dffffffff,58.0,33.0,0.0
8419461ffffffff,4.0,0.0,0.0
8419463ffffffff,15.0,0.0,0.0
8419467ffffffff,23.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0
8419481ffffffff,12.0,0.0,0.0
8419485ffffffff,28.0,0.0,0.0
841948dffffffff,74.0,0.0,0.0
84194a1ffffffff,41.0,0.0,0.0
84194a5ffffffff,872.0,44.0,0.0
84194a7ffffffff,13.0,0.0,0.0
84194a9ffffffff,19.0,0.0,0.0
84194abffffffff,16.0,0.0,0.0
84194adffffffff,147.0,5.0,0.0
84194b9ffffffff,1.0,0.0,0.0
84194bbffffffff,2.0,0.0,0.0
84194c5ffffffff,37.0,0.0,0.0
84194d9ffffffff,1.0,0.0,0.0
84194ddffffffff,2.0,2.0,0.0
84194e1ffffffff,25.0,5.0,0.0
84194e3ffffffff,10.0,0.0,0.0
84194e5ffffffff,829.0,18.0,0.0
84194e7ffffffff,91.0,1.0,0.0
84194e9ffffffff,51.0,0.0,0.0
84194ebffffffff,22.0,0.0,0.0
84194edffffffff,83.0,4.0,0.0
841950dffffffff,1.0,0.0,0.0
8419513ffffffff,3.0,0.0,0.0
8419517ffffffff,31.0,4.0,0.0
841951bffffffff,2.0,0.0,0.0
8419533ffffffff,3.0,0.0,0.0
841953bffffffff,14.0,0.0,0.0
8419541ffffffff,10.0,1.0,0.0
8419543ffffffff,4.0,0.0,0.0
8419547ffffffff,40.0,0.0,0.0
8419553ffffffff,2.0,0.0,0.0
8419555ffffffff,2.0,0.0,0.0
