cell_id,Phacellodomus rufifrons,Phacellodomus rufifrons [rufifrons Group],Phacellodomus rufifrons specularis
838014fffffffff,3.0,0.0,0.0
838026fffffffff,1.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0
838030fffffffff,83.0,7.0,0.0
838032fffffffff,2.0,0.0,0.0
838034fffffffff,5.0,0.0,0.0
838036fffffffff,16.0,2.0,2.0
838100fffffffff,25.0,0.0,0.0
838102fffffffff,16.0,0.0,0.0
838106fffffffff,22.0,0.0,0.0
838109fffffffff,3.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0
838114fffffffff,12.0,0.0,0.0
838116fffffffff,14.0,0.0,0.0
83811efffffffff,11.0,0.0,0.0
838121fffffffff,5.0,1.0,0.0
838124fffffffff,147.0,4.0,0.0
838125fffffffff,4.0,0.0,0.0
838126fffffffff,2.0,0.0,0.0
83812bfffffffff,2.0,0.0,0.0
83812cfffffffff,2.0,0.0,0.0
83812dfffffffff,4.0,3.0,0.0
838130fffffffff,104.0,0.0,0.0
838131fffffffff,1.0,0.0,0.0
838132fffffffff,24.0,0.0,0.0
838133fffffffff,257.0,0.0,0.0
838134fffffffff,24.0,0.0,0.0
838136fffffffff,5.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0
838152fffffffff,1.0,0.0,0.0
838158fffffffff,2.0,0.0,0.0
838162fffffffff,3.0,0.0,0.0
838180fffffffff,50.0,0.0,0.0
838181fffffffff,254.0,0.0,10.0
838183fffffffff,23.0,0.0,0.0
838185fffffffff,56.0,0.0,1.0
83818afffffffff,1.0,0.0,0.0
83818cfffffffff,11.0,0.0,0.0
83818dfffffffff,2.0,0.0,0.0
83818efffffffff,38.0,3.0,0.0
8381a9fffffffff,3.0,0.0,0.0
8381aafffffffff,2.0,0.0,0.0
8381adfffffffff,13.0,0.0,0.0
838b08fffffffff,2.0,0.0,0.0
838b10fffffffff,1.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0
838b20fffffffff,7.0,0.0,0.0
838b22fffffffff,252.0,0.0,0.0
838b26fffffffff,20.0,0.0,0.0
838b2afffffffff,15.0,0.0,0.0
838b2bfffffffff,1.0,0.0,0.0
838b31fffffffff,31.0,0.0,0.0
838b36fffffffff,4.0,0.0,0.0
838b76fffffffff,39.0,0.0,0.0
838ba2fffffffff,1.0,0.0,0.0
838ba6fffffffff,12.0,2.0,0.0
838bb5fffffffff,4.0,0.0,0.0
838f40fffffffff,180.0,34.0,0.0
838f43fffffffff,5.0,0.0,0.0
838f46fffffffff,700.0,87.0,0.0
838f54fffffffff,384.0,61.0,0.0
838f55fffffffff,64.0,4.0,0.0
838f72fffffffff,244.0,37.0,0.0
838f73fffffffff,83.0,1.0,0.0
83a812fffffffff,7.0,0.0,0.0
83a814fffffffff,2.0,0.0,0.0
83a818fffffffff,2.0,0.0,0.0
83a81afffffffff,9.0,0.0,0.0
83a81bfffffffff,6.0,0.0,0.0
83a81efffffffff,60.0,0.0,0.0
83a840fffffffff,100.0,0.0,0.0
83a841fffffffff,28.0,0.0,0.0
83a844fffffffff,16.0,3.0,0.0
83a845fffffffff,29.0,0.0,0.0
83a846fffffffff,30.0,0.0,0.0
83a848fffffffff,1.0,0.0,0.0
83a849fffffffff,2.0,0.0,0.0
83a84afffffffff,3.0,0.0,0.0
83a84bfffffffff,2.0,0.0,0.0
83a84dfffffffff,3.0,0.0,0.0
83a84efffffffff,1.0,0.0,0.0
83a855fffffffff,16.0,2.0,0.0
83a859fffffffff,476.0,23.0,0.0
83a85bfffffffff,2.0,0.0,0.0
83a85dfffffffff,42.0,0.0,0.0
83a860fffffffff,45.0,0.0,0.0
83a863fffffffff,12.0,0.0,0.0
83a864fffffffff,12.0,0.0,0.0
83a866fffffffff,18.0,0.0,0.0
83a869fffffffff,2.0,0.0,0.0
83a86bfffffffff,3.0,0.0,0.0
83a871fffffffff,2.0,0.0,0.0
83a872fffffffff,1.0,0.0,0.0
83a873fffffffff,2.0,0.0,0.0
83a880fffffffff,137.0,1.0,0.0
83a881fffffffff,162.0,4.0,0.0
83a882fffffffff,64.0,0.0,0.0
83a883fffffffff,19.0,0.0,0.0
83a884fffffffff,312.0,7.0,0.0
83a885fffffffff,26.0,0.0,0.0
83a886fffffffff,109.0,2.0,0.0
83a888fffffffff,9.0,0.0,0.0
83a88afffffffff,16.0,0.0,0.0
83a88bfffffffff,18.0,0.0,0.0
83a88cfffffffff,23.0,0.0,0.0
83a88dfffffffff,183.0,8.0,0.0
83a88efffffffff,191.0,12.0,0.0
83a891fffffffff,29.0,2.0,0.0
83a895fffffffff,7.0,0.0,0.0
83a899fffffffff,2.0,0.0,0.0
83a89afffffffff,2.0,0.0,0.0
83a89bfffffffff,12.0,0.0,0.0
83a89dfffffffff,2.0,0.0,0.0
83a89efffffffff,1.0,0.0,0.0
83a8a0fffffffff,46.0,0.0,0.0
83a8a1fffffffff,219.0,10.0,0.0
83a8a2fffffffff,182.0,10.0,0.0
83a8a3fffffffff,140.0,0.0,0.0
83a8a8fffffffff,13.0,0.0,0.0
83a8a9fffffffff,145.0,14.0,0.0
83a8aafffffffff,77.0,2.0,0.0
83a8abfffffffff,21.0,0.0,0.0
83a8acfffffffff,102.0,3.0,0.0
83a8adfffffffff,22.0,0.0,0.0
83a8aefffffffff,131.0,0.0,0.0
83a8b1fffffffff,18.0,0.0,0.0
83a8c2fffffffff,11.0,4.0,0.0
83a8d0fffffffff,8.0,0.0,0.0
83a8d1fffffffff,260.0,2.0,0.0
83a8d3fffffffff,90.0,0.0,0.0
83a8d4fffffffff,35.0,0.0,0.0
83a8d5fffffffff,20.0,1.0,0.0
83a8d6fffffffff,4.0,0.0,0.0
83a8dafffffffff,6.0,0.0,0.0
83a8defffffffff,37.0,2.0,0.0
83a8e6fffffffff,2.0,0.0,0.0
83a8ecfffffffff,1.0,0.0,0.0
83a8f0fffffffff,1.0,0.0,0.0
83a8f2fffffffff,2.0,0.0,0.0
83a8f4fffffffff,19.0,0.0,0.0
83a8f5fffffffff,3.0,0.0,0.0
83a8f6fffffffff,2.0,0.0,0.0
83a948fffffffff,2.0,0.0,0.0
83a94bfffffffff,6.0,0.0,0.0
83a94efffffffff,50.0,0.0,0.0
83a959fffffffff,9.0,0.0,0.0
83a95bfffffffff,2.0,0.0,0.0
83a95dfffffffff,1.0,0.0,0.0
83b262fffffffff,6.0,0.0,0.0
83b265fffffffff,3.0,0.0,0.0
83b270fffffffff,17.0,0.0,0.0
83b274fffffffff,33.0,0.0,0.0
83b275fffffffff,38.0,0.0,0.0
83b340fffffffff,20.0,0.0,0.0
83b342fffffffff,413.0,0.0,0.0
83b343fffffffff,22.0,0.0,0.0
83b344fffffffff,24.0,0.0,0.0
83b345fffffffff,2.0,0.0,0.0
83b346fffffffff,16.0,0.0,0.0
83b351fffffffff,197.0,0.0,0.0
83b358fffffffff,110.0,0.0,0.0
83b35afffffffff,12.0,0.0,0.0
83b35bfffffffff,3.0,0.0,0.0
83b35cfffffffff,290.0,0.0,0.0
83b35dfffffffff,18.0,0.0,0.0
83b35efffffffff,435.0,0.0,0.0
83b362fffffffff,5.0,0.0,0.0
83b363fffffffff,4.0,0.0,0.0
83b366fffffffff,69.0,0.0,0.0
83b36dfffffffff,7.0,0.0,0.0
