cell_id,Myiodynastes maculatus,Myiodynastes maculatus [maculatus Group],Myiodynastes maculatus solitarius
82450ffffffffff,254.0,1.0,0.0
824527fffffffff,27.0,0.0,0.0
82452ffffffffff,592.0,0.0,0.0
824577fffffffff,2.0,0.0,0.0
8248a7fffffffff,44.0,3.0,0.0
824997fffffffff,2.0,0.0,0.0
82499ffffffffff,68.0,0.0,0.0
825f0ffffffffff,19.0,0.0,0.0
825f17fffffffff,16.0,0.0,0.0
825f1ffffffffff,11.0,0.0,0.0
825f2ffffffffff,170.0,0.0,0.0
825f47fffffffff,73.0,1.0,0.0
825f4ffffffffff,99.0,0.0,0.0
825f57fffffffff,7.0,0.0,0.0
825f5ffffffffff,853.0,0.0,0.0
825f6ffffffffff,35.0,0.0,0.0
825f77fffffffff,44.0,0.0,0.0
826607fffffffff,404.0,0.0,0.0
82660ffffffffff,2398.0,36.0,0.0
826617fffffffff,4655.0,426.0,0.0
82661ffffffffff,6295.0,86.0,0.0
826627fffffffff,2080.0,166.0,0.0
82662ffffffffff,222.0,0.0,0.0
826637fffffffff,296.0,4.0,0.0
826647fffffffff,63.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0
826657fffffffff,140.0,0.0,0.0
82665ffffffffff,70.0,3.0,0.0
826667fffffffff,20.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,93.0,0.0,0.0
826687fffffffff,15.0,0.0,0.0
8266a7fffffffff,7088.0,456.0,0.0
8266b7fffffffff,5336.0,26.0,0.0
8266c7fffffffff,534.0,6.0,0.0
8266cffffffffff,42.0,0.0,0.0
8266d7fffffffff,1242.0,94.0,0.0
8266dffffffffff,579.0,43.0,9.0
8266e7fffffffff,4163.0,24.0,0.0
8266effffffffff,433.0,2.0,0.0
8266f7fffffffff,2303.0,15.0,0.0
826747fffffffff,411.0,6.0,0.0
82674ffffffffff,1514.0,37.0,0.0
826757fffffffff,433.0,0.0,0.0
82675ffffffffff,263.0,0.0,0.0
82679ffffffffff,22.0,3.0,0.0
826d27fffffffff,9.0,0.0,0.0
826d2ffffffffff,10.0,0.0,0.0
826d37fffffffff,15.0,3.0,0.0
826d67fffffffff,15.0,0.0,0.0
826d6ffffffffff,7625.0,0.0,0.0
828007fffffffff,25.0,0.0,0.0
82800ffffffffff,9.0,0.0,0.0
828017fffffffff,285.0,0.0,0.0
828027fffffffff,18.0,0.0,0.0
82802ffffffffff,7.0,0.0,0.0
828037fffffffff,132.0,0.0,0.0
828047fffffffff,13.0,0.0,0.0
828057fffffffff,9.0,0.0,0.0
828067fffffffff,13.0,0.0,0.0
82806ffffffffff,6.0,0.0,1.0
828077fffffffff,5.0,0.0,0.0
828107fffffffff,129.0,0.0,48.0
82810ffffffffff,3.0,0.0,3.0
828117fffffffff,20.0,0.0,2.0
82811ffffffffff,19.0,0.0,9.0
828127fffffffff,214.0,0.0,45.0
82812ffffffffff,26.0,0.0,1.0
828137fffffffff,175.0,0.0,17.0
828147fffffffff,91.0,0.0,16.0
82814ffffffffff,244.0,0.0,0.0
82815ffffffffff,64.0,0.0,2.0
828167fffffffff,20.0,0.0,0.0
828177fffffffff,61.0,0.0,2.0
828187fffffffff,19.0,0.0,10.0
82818ffffffffff,40.0,0.0,0.0
8281a7fffffffff,5.0,0.0,3.0
8281affffffffff,24.0,0.0,10.0
828a07fffffffff,22.0,0.0,0.0
828a17fffffffff,14.0,0.0,0.0
828a1ffffffffff,1.0,0.0,0.0
828a27fffffffff,8.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,238.0,2.0,0.0
828a57fffffffff,23.0,0.0,0.0
828a6ffffffffff,374.0,9.0,6.0
828a87fffffffff,6.0,0.0,0.0
828a8ffffffffff,39.0,0.0,0.0
828a97fffffffff,5.0,0.0,0.0
828a9ffffffffff,3.0,0.0,0.0
828aaffffffffff,64.0,0.0,0.0
828ad7fffffffff,1.0,0.0,0.0
828adffffffffff,42.0,0.0,0.0
828ae7fffffffff,5.0,0.0,0.0
828af7fffffffff,354.0,12.0,0.0
828b07fffffffff,14.0,0.0,2.0
828b0ffffffffff,97.0,0.0,9.0
828b17fffffffff,15.0,0.0,0.0
828b27fffffffff,391.0,0.0,39.0
828b2ffffffffff,138.0,0.0,14.0
828b37fffffffff,73.0,0.0,6.0
828b47fffffffff,503.0,0.0,30.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,88.0,0.0,1.0
828b5ffffffffff,44.0,0.0,0.0
828b67fffffffff,540.0,0.0,22.0
828b6ffffffffff,210.0,0.0,3.0
828b77fffffffff,162.0,0.0,19.0
828b87fffffffff,34.0,0.0,0.0
828b8ffffffffff,18.0,0.0,3.0
828b9ffffffffff,55.0,0.0,0.0
828ba7fffffffff,92.0,0.0,12.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,421.0,0.0,51.0
828e67fffffffff,160.0,0.0,19.0
828e6ffffffffff,4.0,0.0,0.0
828f0ffffffffff,316.0,24.0,0.0
828f27fffffffff,10.0,0.0,0.0
828f2ffffffffff,1180.0,42.0,0.0
828f47fffffffff,869.0,9.0,116.0
828f4ffffffffff,115.0,2.0,8.0
828f57fffffffff,46.0,0.0,0.0
828f5ffffffffff,85.0,0.0,2.0
828f67fffffffff,57.0,0.0,2.0
828f6ffffffffff,32.0,0.0,0.0
828f77fffffffff,94.0,1.0,2.0
82a597fffffffff,15.0,0.0,0.0
82a807fffffffff,1055.0,0.0,156.0
82a80ffffffffff,63.0,0.0,2.0
82a817fffffffff,5556.0,0.0,468.0
82a81ffffffffff,2082.0,0.0,163.0
82a827fffffffff,254.0,0.0,0.0
82a82ffffffffff,146.0,0.0,20.0
82a837fffffffff,661.0,0.0,27.0
82a847fffffffff,342.0,0.0,9.0
82a84ffffffffff,16.0,0.0,4.0
82a857fffffffff,105.0,0.0,13.0
82a85ffffffffff,653.0,0.0,62.0
82a867fffffffff,119.0,0.0,0.0
82a86ffffffffff,35.0,0.0,0.0
82a877fffffffff,63.0,0.0,1.0
82a887fffffffff,567.0,0.0,14.0
82a88ffffffffff,115.0,0.0,22.0
82a897fffffffff,207.0,0.0,0.0
82a89ffffffffff,7.0,0.0,0.0
82a8a7fffffffff,1884.0,0.0,170.0
82a8affffffffff,257.0,0.0,21.0
82a8b7fffffffff,6.0,0.0,0.0
82a8c7fffffffff,147.0,0.0,18.0
82a8cffffffffff,6.0,0.0,2.0
82a8d7fffffffff,217.0,0.0,56.0
82a8dffffffffff,53.0,0.0,2.0
82a8e7fffffffff,32.0,0.0,0.0
82a8effffffffff,3.0,0.0,2.0
82a8f7fffffffff,50.0,0.0,1.0
82a907fffffffff,60.0,0.0,3.0
82a90ffffffffff,176.0,0.0,0.0
82a91ffffffffff,289.0,0.0,11.0
82a92ffffffffff,327.0,0.0,0.0
82a947fffffffff,1478.0,0.0,0.0
82a94ffffffffff,482.0,0.0,0.0
82a957fffffffff,1828.0,0.0,9.0
82a95ffffffffff,301.0,0.0,0.0
82a967fffffffff,365.0,0.0,0.0
82a96ffffffffff,533.0,0.0,0.0
82a977fffffffff,192.0,0.0,0.0
82b247fffffffff,198.0,0.0,0.0
82b24ffffffffff,68.0,0.0,0.0
82b257fffffffff,30.0,0.0,0.0
82b25ffffffffff,264.0,0.0,0.0
82b267fffffffff,41.0,0.0,0.0
82b26ffffffffff,31.0,0.0,0.0
82b277fffffffff,148.0,0.0,0.0
82b2effffffffff,39.0,0.0,0.0
82b327fffffffff,93.0,0.0,0.0
82b347fffffffff,669.0,0.0,0.0
82b34ffffffffff,99.0,0.0,0.0
82b357fffffffff,93.0,0.0,0.0
82b35ffffffffff,690.0,0.0,0.0
82b367fffffffff,66.0,0.0,16.0
82b36ffffffffff,76.0,0.0,0.0
82c207fffffffff,6.0,0.0,0.0
82c21ffffffffff,17.0,0.0,0.0
82c22ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,383.0,0.0,3.0
82c2cffffffffff,508.0,0.0,0.0
82c2d7fffffffff,92.0,0.0,4.0
82c2dffffffffff,128.0,0.0,8.0
82c2e7fffffffff,2485.0,0.0,41.0
82c2effffffffff,85.0,0.0,0.0
82c2f7fffffffff,261.0,0.0,13.0
82c347fffffffff,7.0,0.0,0.0
82c357fffffffff,2.0,0.0,0.0
82c36ffffffffff,1.0,0.0,0.0
