cell_id,Oriolus traillii,Oriolus traillii traillii/robinsoni,Oriolus traillii ardens/nigellicauda
843c0a3ffffffff,2.0,0.0,0.0
843c0a5ffffffff,7.0,0.0,0.0
843c0adffffffff,4.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0
843c199ffffffff,3.0,0.0,0.0
843c19bffffffff,7.0,0.0,0.0
843c1c3ffffffff,9.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0
843c333ffffffff,2.0,0.0,0.0
843c369ffffffff,1.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0
843c5a1ffffffff,1.0,1.0,0.0
843cdcdffffffff,5.0,0.0,0.0
843ce4dffffffff,6.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
843ceebffffffff,1.0,0.0,0.0
843d101ffffffff,2.0,0.0,0.0
843d105ffffffff,3.0,0.0,0.0
843da93ffffffff,2.0,0.0,0.0
84404c5ffffffff,6.0,6.0,0.0
8441035ffffffff,2.0,0.0,0.0
84415a1ffffffff,2.0,0.0,0.0
8441659ffffffff,3.0,0.0,0.0
844b845ffffffff,5.0,0.0,0.0
844b849ffffffff,3.0,0.0,0.0
844b869ffffffff,2.0,0.0,0.0
844ba03ffffffff,15.0,0.0,0.0
844ba0bffffffff,9.0,0.0,0.0
844ba15ffffffff,2.0,0.0,0.0
844ba1dffffffff,4.0,0.0,0.0
844ba21ffffffff,2.0,0.0,0.0
844ba25ffffffff,7.0,0.0,0.0
844ba2bffffffff,16.0,0.0,0.0
844ba35ffffffff,1.0,0.0,0.0
844bb13ffffffff,6.0,0.0,0.0
844bb17ffffffff,2.0,0.0,0.0
844bb1bffffffff,5.0,0.0,0.0
