cell_id,Cisticola juncidis,Cisticola juncidis [juncidis Group],Cisticola juncidis terrestris/uropygialis,Cisticola juncidis [tinnabulans Group],Cisticola juncidis brunniceps
831849fffffffff,2.0,0.0,0.0,0.0,0.0
83184bfffffffff,22.0,15.0,0.0,0.0,0.0
831859fffffffff,5.0,0.0,0.0,0.0,0.0
83185bfffffffff,94.0,0.0,0.0,0.0,0.0
831868fffffffff,1.0,0.0,0.0,0.0,0.0
83186cfffffffff,1.0,0.0,0.0,0.0,0.0
83186dfffffffff,1.0,0.0,0.0,0.0,0.0
831948fffffffff,1.0,0.0,0.0,0.0,0.0
83194dfffffffff,51.0,10.0,0.0,0.0,0.0
831968fffffffff,5.0,0.0,0.0,0.0,0.0
831969fffffffff,2.0,0.0,0.0,0.0,0.0
83196bfffffffff,6.0,0.0,0.0,0.0,0.0
83196dfffffffff,2.0,0.0,0.0,0.0,0.0
831ea0fffffffff,4.0,2.0,0.0,0.0,0.0
831ea1fffffffff,8.0,0.0,0.0,0.0,0.0
831ea5fffffffff,3.0,0.0,0.0,0.0,0.0
831eaefffffffff,3.0,0.0,0.0,0.0,0.0
831ec3fffffffff,2.0,2.0,0.0,0.0,0.0
831ed6fffffffff,1.0,0.0,0.0,0.0,0.0
831edefffffffff,1.0,1.0,0.0,0.0,0.0
831eebfffffffff,2.0,0.0,0.0,0.0,0.0
831f14fffffffff,3.0,0.0,0.0,0.0,0.0
831f82fffffffff,1.0,0.0,0.0,0.0,0.0
831f8efffffffff,10.0,2.0,0.0,0.0,0.0
831f98fffffffff,8.0,0.0,0.0,0.0,0.0
831fa0fffffffff,1.0,0.0,0.0,0.0,0.0
831fa4fffffffff,1.0,0.0,0.0,0.0,0.0
831fa5fffffffff,3.0,0.0,0.0,0.0,0.0
831facfffffffff,6.0,0.0,0.0,0.0,0.0
831fb0fffffffff,2.0,0.0,0.0,0.0,0.0
831fb2fffffffff,2.0,0.0,0.0,0.0,0.0
831fb4fffffffff,11.0,0.0,0.0,0.0,0.0
831fb5fffffffff,2.0,0.0,0.0,0.0,0.0
832c9cfffffffff,2.0,0.0,0.0,0.0,0.0
832da3fffffffff,2.0,0.0,0.0,0.0,0.0
832da5fffffffff,1.0,1.0,0.0,0.0,0.0
832db1fffffffff,1.0,0.0,0.0,0.0,0.0
833083fffffffff,2.0,0.0,0.0,0.0,0.0
83308efffffffff,2.0,0.0,0.0,0.0,0.0
833099fffffffff,8.0,0.0,0.0,0.0,0.0
83309bfffffffff,39.0,0.0,0.0,0.0,0.0
83309dfffffffff,2.0,0.0,0.0,0.0,0.0
83318dfffffffff,2.0,0.0,0.0,0.0,0.0
833862fffffffff,8.0,3.0,0.0,0.0,0.0
833875fffffffff,17.0,0.0,0.0,0.0,0.0
8338ebfffffffff,2.0,0.0,0.0,0.0,0.0
833900fffffffff,63.0,31.0,0.0,0.0,0.0
833901fffffffff,28.0,15.0,0.0,0.0,0.0
833902fffffffff,15.0,5.0,0.0,0.0,0.0
833903fffffffff,37.0,17.0,0.0,0.0,0.0
833904fffffffff,12.0,6.0,0.0,0.0,0.0
833906fffffffff,8.0,0.0,0.0,0.0,0.0
83390cfffffffff,2.0,0.0,0.0,0.0,0.0
833910fffffffff,14.0,0.0,0.0,0.0,0.0
833911fffffffff,9.0,0.0,0.0,0.0,0.0
833915fffffffff,12.0,8.0,0.0,0.0,0.0
833918fffffffff,57.0,57.0,0.0,0.0,0.0
833919fffffffff,42.0,42.0,0.0,0.0,0.0
83391dfffffffff,2.0,2.0,0.0,0.0,0.0
833920fffffffff,2.0,0.0,0.0,0.0,0.0
833922fffffffff,25.0,0.0,0.0,0.0,0.0
833923fffffffff,16.0,4.0,0.0,0.0,0.0
833928fffffffff,20.0,0.0,0.0,0.0,0.0
833929fffffffff,3.0,0.0,0.0,0.0,0.0
83392afffffffff,2.0,0.0,0.0,0.0,0.0
83392dfffffffff,2.0,0.0,0.0,0.0,0.0
83392efffffffff,2.0,0.0,0.0,0.0,0.0
833931fffffffff,5.0,0.0,0.0,0.0,0.0
833933fffffffff,18.0,15.0,0.0,0.0,0.0
833943fffffffff,2.0,2.0,0.0,0.0,0.0
833944fffffffff,13.0,13.0,0.0,0.0,0.0
833946fffffffff,46.0,46.0,0.0,0.0,0.0
833954fffffffff,6.0,6.0,0.0,0.0,0.0
83395afffffffff,1.0,0.0,0.0,0.0,0.0
833971fffffffff,4.0,4.0,0.0,0.0,0.0
833972fffffffff,11.0,0.0,0.0,0.0,0.0
833973fffffffff,47.0,46.0,0.0,0.0,0.0
833974fffffffff,10.0,10.0,0.0,0.0,0.0
833975fffffffff,3.0,3.0,0.0,0.0,0.0
833976fffffffff,2.0,0.0,0.0,0.0,0.0
833c15fffffffff,6.0,6.0,0.0,0.0,0.0
833c19fffffffff,2.0,0.0,0.0,0.0,0.0
833c1bfffffffff,6.0,0.0,0.0,0.0,0.0
833c33fffffffff,2.0,0.0,0.0,0.0,0.0
833c34fffffffff,2.0,0.0,0.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0,0.0
833c58fffffffff,2.0,2.0,0.0,0.0,0.0
833c5afffffffff,3.0,0.0,0.0,0.0,0.0
833c80fffffffff,3.0,0.0,0.0,0.0,0.0
833c8dfffffffff,2.0,0.0,0.0,0.0,0.0
833ca8fffffffff,2.0,0.0,0.0,0.0,0.0
833ca9fffffffff,7.0,0.0,0.0,0.0,0.0
833cabfffffffff,2.0,0.0,0.0,0.0,0.0
833cc6fffffffff,6.0,0.0,0.0,0.0,0.0
833ce1fffffffff,15.0,0.0,0.0,0.0,0.0
833ce5fffffffff,2.0,0.0,0.0,0.0,0.0
833cecfffffffff,1.0,0.0,0.0,0.0,0.0
833cf2fffffffff,47.0,0.0,0.0,0.0,0.0
833cf4fffffffff,2.0,0.0,0.0,0.0,0.0
833cf6fffffffff,11.0,0.0,0.0,0.0,0.0
833d30fffffffff,4.0,0.0,0.0,0.0,0.0
833d36fffffffff,26.0,2.0,0.0,0.0,0.0
833d89fffffffff,2.0,0.0,0.0,0.0,0.0
833d8dfffffffff,10.0,6.0,0.0,0.0,0.0
833d96fffffffff,2.0,0.0,0.0,0.0,0.0
833d98fffffffff,2.0,0.0,0.0,0.0,0.0
833da6fffffffff,3.0,0.0,0.0,0.0,0.0
833da9fffffffff,1.0,0.0,0.0,0.0,0.0
833dacfffffffff,8.0,0.0,0.0,0.0,0.0
833dadfffffffff,1.0,0.0,0.0,0.0,0.0
833e45fffffffff,4.0,0.0,0.0,0.0,0.0
833e6cfffffffff,4.0,0.0,0.0,0.0,0.0
833f4dfffffffff,1.0,1.0,0.0,0.0,0.0
833f61fffffffff,2.0,0.0,0.0,0.0,0.0
833f62fffffffff,4.0,0.0,0.0,0.0,0.0
833f64fffffffff,2.0,0.0,0.0,0.0,0.0
833f66fffffffff,2.0,0.0,0.0,0.0,0.0
83411cfffffffff,3.0,0.0,0.0,0.0,0.0
834173fffffffff,15.0,0.0,0.0,0.0,0.0
8341a0fffffffff,1.0,0.0,0.0,0.0,0.0
8341a4fffffffff,1.0,0.0,0.0,0.0,0.0
8341a5fffffffff,8.0,0.0,0.0,0.0,0.0
8341b4fffffffff,2.0,0.0,0.0,0.0,0.0
8342c4fffffffff,7.0,0.0,0.0,0.0,0.0
8342cefffffffff,3.0,0.0,0.0,0.0,0.0
8342ddfffffffff,3.0,0.0,0.0,0.0,0.0
834b84fffffffff,12.0,0.0,0.0,4.0,0.0
834ba0fffffffff,2.0,0.0,0.0,0.0,0.0
834ba2fffffffff,16.0,0.0,0.0,0.0,0.0
834ba3fffffffff,2.0,0.0,0.0,0.0,0.0
834bb1fffffffff,11.0,0.0,0.0,0.0,0.0
834bb5fffffffff,10.0,0.0,0.0,0.0,0.0
83521cfffffffff,2.0,0.0,0.0,0.0,0.0
836004fffffffff,12.0,0.0,0.0,0.0,0.0
836010fffffffff,2.0,0.0,0.0,0.0,0.0
836011fffffffff,2.0,0.0,0.0,0.0,0.0
836015fffffffff,4.0,2.0,0.0,0.0,0.0
836016fffffffff,1.0,0.0,0.0,0.0,0.0
83601efffffffff,5.0,0.0,0.0,0.0,0.0
836022fffffffff,35.0,2.0,0.0,0.0,0.0
836026fffffffff,17.0,0.0,0.0,0.0,0.0
836031fffffffff,63.0,0.0,0.0,0.0,0.0
836032fffffffff,8.0,2.0,0.0,0.0,0.0
836033fffffffff,90.0,0.0,0.0,0.0,0.0
836035fffffffff,9.0,0.0,0.0,0.0,0.0
836088fffffffff,4.0,0.0,0.0,0.0,0.0
83608efffffffff,2.0,0.0,0.0,0.0,0.0
83609efffffffff,1.0,0.0,0.0,0.0,0.0
8360a0fffffffff,1.0,0.0,0.0,0.0,0.0
8360a2fffffffff,2.0,0.0,0.0,0.0,0.0
8360a8fffffffff,3.0,0.0,0.0,0.0,0.0
8360a9fffffffff,64.0,0.0,0.0,0.0,0.0
8360adfffffffff,4.0,2.0,0.0,0.0,0.0
8360b1fffffffff,3.0,0.0,0.0,0.0,0.0
83618cfffffffff,1.0,0.0,0.0,0.0,0.0
83619afffffffff,1.0,0.0,0.0,0.0,0.0
83642bfffffffff,11.0,0.0,0.0,0.0,0.0
83649dfffffffff,1.0,1.0,0.0,0.0,0.0
8364a6fffffffff,2.0,0.0,0.0,2.0,0.0
836501fffffffff,22.0,0.0,0.0,0.0,0.0
836503fffffffff,7.0,0.0,0.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0,0.0,0.0
836518fffffffff,54.0,0.0,0.0,0.0,0.0
836519fffffffff,2.0,0.0,0.0,0.0,0.0
83651dfffffffff,71.0,0.0,0.0,0.0,0.0
836520fffffffff,20.0,0.0,0.0,0.0,0.0
836522fffffffff,6.0,0.0,0.0,0.0,0.0
836523fffffffff,21.0,0.0,0.0,0.0,0.0
836526fffffffff,9.0,0.0,0.0,2.0,0.0
836531fffffffff,14.0,0.0,0.0,0.0,0.0
836580fffffffff,1.0,0.0,0.0,1.0,0.0
83658bfffffffff,86.0,0.0,0.0,86.0,0.0
836828fffffffff,1.0,0.0,0.0,1.0,0.0
83684efffffffff,1.0,0.0,0.0,1.0,0.0
836858fffffffff,1.0,0.0,0.0,0.0,0.0
836941fffffffff,2.0,0.0,0.0,0.0,0.0
83694efffffffff,3.0,0.0,0.0,0.0,0.0
837a45fffffffff,4.0,0.0,0.0,0.0,0.0
837a60fffffffff,16.0,0.0,0.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0,0.0
837a6afffffffff,6.0,0.0,0.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0,0.0,0.0
837b48fffffffff,3.0,0.0,3.0,0.0,0.0
837b4afffffffff,10.0,0.0,0.0,0.0,0.0
837b4cfffffffff,55.0,0.0,21.0,0.0,0.0
837b4efffffffff,13.0,0.0,2.0,0.0,0.0
838db5fffffffff,3.0,0.0,0.0,2.0,0.0
8394e2fffffffff,19.0,0.0,0.0,0.0,0.0
8395a4fffffffff,2.0,0.0,0.0,2.0,0.0
