cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
845f095ffffffff,2.0,0.0,0.0
845f1e9ffffffff,7.0,0.0,0.0
845f295ffffffff,3.0,0.0,0.0
845f299ffffffff,8.0,0.0,0.0
845f2d1ffffffff,53.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0
845f2d5ffffffff,2.0,0.0,0.0
845f2d7ffffffff,38.0,0.0,0.0
8480469ffffffff,2.0,0.0,0.0
84806a3ffffffff,7.0,0.0,0.0
84806abffffffff,14.0,0.0,0.0
8481161ffffffff,1.0,0.0,0.0
8481163ffffffff,4.0,0.0,0.0
8481245ffffffff,10.0,0.0,2.0
848124bffffffff,2.0,0.0,0.0
848124dffffffff,4.0,0.0,1.0
8481303ffffffff,2.0,0.0,0.0
8481339ffffffff,4.0,0.0,0.0
8481343ffffffff,3.0,0.0,0.0
848134dffffffff,2.0,0.0,0.0
8481363ffffffff,21.0,0.0,0.0
84814adffffffff,2.0,0.0,0.0
84814d5ffffffff,3.0,0.0,0.0
84814e5ffffffff,6.0,0.0,0.0
848a9c1ffffffff,3.0,0.0,0.0
848a9c5ffffffff,1.0,0.0,0.0
848a9e1ffffffff,2.0,0.0,0.0
848a9e5ffffffff,2.0,0.0,0.0
848b205ffffffff,3.0,0.0,0.0
848b221ffffffff,3.0,0.0,0.0
848b223ffffffff,5.0,0.0,0.0
848b22bffffffff,2.0,0.0,0.0
848b22dffffffff,6.0,0.0,0.0
848b261ffffffff,2.0,0.0,0.0
848b269ffffffff,11.0,0.0,0.0
848b315ffffffff,4.0,0.0,0.0
84a5969ffffffff,21.0,0.0,0.0
84a8005ffffffff,2.0,0.0,0.0
84a801bffffffff,20.0,0.0,0.0
84a802dffffffff,2.0,0.0,2.0
84a803dffffffff,1.0,0.0,0.0
84a8061ffffffff,3.0,0.0,0.0
84a8067ffffffff,4.0,0.0,0.0
84a80a1ffffffff,2.0,0.0,0.0
84a8101ffffffff,52.0,0.0,0.0
84a8103ffffffff,152.0,0.0,3.0
84a8105ffffffff,78.0,0.0,6.0
84a8107ffffffff,163.0,0.0,4.0
84a810bffffffff,9.0,0.0,0.0
84a810dffffffff,25.0,0.0,0.0
84a8113ffffffff,12.0,0.0,0.0
84a8115ffffffff,68.0,0.0,0.0
84a8117ffffffff,22.0,0.0,0.0
84a8119ffffffff,4.0,0.0,0.0
84a811bffffffff,2.0,0.0,0.0
84a811dffffffff,1.0,0.0,0.0
84a8121ffffffff,32.0,0.0,2.0
84a8123ffffffff,186.0,0.0,3.0
84a8125ffffffff,61.0,0.0,5.0
84a8127ffffffff,253.0,0.0,11.0
84a8129ffffffff,147.0,0.0,22.0
84a812bffffffff,154.0,0.0,2.0
84a812dffffffff,225.0,0.0,24.0
84a8131ffffffff,174.0,0.0,8.0
84a8133ffffffff,2.0,0.0,0.0
84a8137ffffffff,2.0,0.0,0.0
84a8139ffffffff,64.0,0.0,27.0
84a813bffffffff,108.0,0.0,4.0
84a813dffffffff,22.0,0.0,0.0
84a8143ffffffff,14.0,0.0,0.0
84a8153ffffffff,1.0,0.0,0.0
84a8155ffffffff,6.0,0.0,0.0
84a8157ffffffff,4.0,0.0,0.0
84a8163ffffffff,10.0,0.0,0.0
84a8167ffffffff,51.0,0.0,6.0
84a8181ffffffff,2.0,0.0,0.0
84a818dffffffff,2.0,0.0,0.0
84a81a5ffffffff,2.0,0.0,0.0
84a81abffffffff,1.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,2.0
84a81bbffffffff,5.0,0.0,0.0
84a81c5ffffffff,1.0,0.0,0.0
84a81c7ffffffff,5.0,0.0,0.0
84a81cdffffffff,22.0,0.0,0.0
84a81d9ffffffff,10.0,0.0,0.0
84a81ddffffffff,3.0,0.0,0.0
84a81e1ffffffff,15.0,0.0,0.0
84a81e9ffffffff,53.0,0.0,0.0
84a81ebffffffff,2.0,0.0,0.0
84a81edffffffff,138.0,0.0,0.0
84a8287ffffffff,8.0,0.0,0.0
84a82a1ffffffff,3.0,0.0,0.0
84a82a7ffffffff,1.0,0.0,0.0
84a82abffffffff,2.0,0.0,0.0
84a82bdffffffff,2.0,0.0,0.0
84a8333ffffffff,3.0,0.0,0.0
84a8337ffffffff,7.0,0.0,0.0
84a833bffffffff,7.0,0.0,0.0
84a840dffffffff,13.0,0.0,0.0
84a8439ffffffff,2.0,0.0,0.0
84a844dffffffff,7.0,0.0,3.0
84a845bffffffff,27.0,0.0,0.0
84a8465ffffffff,3.0,0.0,0.0
84a84e7ffffffff,1.0,0.0,0.0
84a8603ffffffff,5.0,0.0,0.0
84a8605ffffffff,9.0,0.0,0.0
84a8607ffffffff,3.0,0.0,0.0
84a860dffffffff,24.0,0.0,0.0
84a8615ffffffff,5.0,0.0,0.0
84a8629ffffffff,9.0,0.0,0.0
84a862dffffffff,5.0,0.0,0.0
84a8639ffffffff,2.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8647ffffffff,4.0,0.0,0.0
84a865bffffffff,23.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a8691ffffffff,3.0,0.0,0.0
84a86bdffffffff,2.0,0.0,0.0
84a86c3ffffffff,8.0,0.0,0.0
84a86d3ffffffff,1.0,0.0,0.0
84a86d5ffffffff,2.0,0.0,0.0
84a86d7ffffffff,2.0,0.0,0.0
