cell_id,Niltava grandis,Niltava grandis [grandis Group],Niltava grandis decorata
823c07fffffffff,2.0,0.0,0.0
823c1ffffffffff,2.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0
823c5ffffffffff,3.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823ce7fffffffff,31.0,0.0,0.0
823ceffffffffff,1.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
82404ffffffffff,8.0,8.0,0.0
826437fffffffff,2.0,0.0,0.0
8264b7fffffffff,1.0,0.0,0.0
826507fffffffff,223.0,0.0,0.0
82651ffffffffff,7.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
828cd7fffffffff,1.0,0.0,0.0
