cell_id,Poicephalus fuscicollis,Poicephalus fuscicollis fuscicollis,Poicephalus fuscicollis suahelicus
83541afffffffff,12.0,0.0,0.0
83541bfffffffff,3.0,1.0,0.0
8354a9fffffffff,52.0,13.0,0.0
8354f4fffffffff,21.0,7.0,0.0
835896fffffffff,16.0,5.0,0.0
83589cfffffffff,1.0,0.0,0.0
836ac1fffffffff,3.0,0.0,0.0
836acefffffffff,12.0,0.0,1.0
836adcfffffffff,1.0,0.0,0.0
836aeafffffffff,3.0,0.0,0.0
837508fffffffff,1.0,0.0,0.0
83750dfffffffff,12.0,5.0,0.0
837519fffffffff,1.0,0.0,0.0
837520fffffffff,2.0,0.0,0.0
837528fffffffff,1.0,0.0,0.0
837529fffffffff,3.0,0.0,0.0
83752afffffffff,35.0,14.0,0.0
83752bfffffffff,17.0,6.0,0.0
837b6bfffffffff,14.0,0.0,10.0
8383acfffffffff,1.0,0.0,0.0
83960afffffffff,1.0,0.0,1.0
83960bfffffffff,1.0,0.0,1.0
839614fffffffff,2.0,0.0,0.0
839615fffffffff,2.0,0.0,0.0
839620fffffffff,15.0,0.0,6.0
839621fffffffff,7.0,0.0,4.0
839622fffffffff,1.0,0.0,0.0
839623fffffffff,45.0,0.0,24.0
839625fffffffff,1.0,0.0,0.0
839626fffffffff,7.0,0.0,2.0
839628fffffffff,20.0,0.0,7.0
839629fffffffff,3.0,0.0,2.0
83962afffffffff,5.0,0.0,1.0
83962bfffffffff,1.0,0.0,0.0
83962cfffffffff,17.0,0.0,12.0
83962dfffffffff,4.0,0.0,4.0
83962efffffffff,2.0,0.0,0.0
839631fffffffff,4.0,0.0,2.0
839633fffffffff,3.0,0.0,0.0
839656fffffffff,1.0,0.0,1.0
839666fffffffff,1.0,0.0,0.0
839670fffffffff,3.0,0.0,2.0
839685fffffffff,1.0,0.0,1.0
8396b0fffffffff,12.0,0.0,0.0
8396b1fffffffff,12.0,0.0,0.0
8396b4fffffffff,1.0,0.0,0.0
8396b6fffffffff,4.0,0.0,0.0
839705fffffffff,6.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
839710fffffffff,18.0,0.0,12.0
839711fffffffff,23.0,0.0,22.0
839713fffffffff,2.0,0.0,2.0
839728fffffffff,29.0,0.0,12.0
83972dfffffffff,2.0,0.0,0.0
83972efffffffff,48.0,0.0,25.0
83974afffffffff,7.0,0.0,1.0
83974bfffffffff,10.0,0.0,8.0
83974efffffffff,1.0,0.0,0.0
839750fffffffff,1.0,0.0,0.0
839751fffffffff,27.0,0.0,8.0
839752fffffffff,1.0,0.0,0.0
839753fffffffff,5.0,0.0,4.0
839755fffffffff,2.0,0.0,2.0
839758fffffffff,5.0,0.0,0.0
83975cfffffffff,4.0,0.0,0.0
8397a8fffffffff,2.0,0.0,0.0
8397aafffffffff,33.0,0.0,21.0
83bcd2fffffffff,1.0,0.0,0.0
