cell_id,Sclerurus scansor,Sclerurus scansor cearensis,Sclerurus scansor scansor
838002fffffffff,25.0,20.0,0.0
838010fffffffff,261.0,199.0,0.0
838015fffffffff,2.0,2.0,0.0
838030fffffffff,20.0,12.0,0.0
838036fffffffff,47.0,36.0,0.0
838130fffffffff,54.0,33.0,0.0
838133fffffffff,1.0,0.0,0.0
838136fffffffff,8.0,0.0,0.0
83a800fffffffff,7.0,0.0,2.0
83a801fffffffff,3.0,0.0,2.0
83a804fffffffff,38.0,0.0,2.0
83a805fffffffff,7.0,0.0,2.0
83a806fffffffff,419.0,0.0,117.0
83a810fffffffff,448.0,0.0,97.0
83a811fffffffff,1.0,0.0,1.0
83a812fffffffff,130.0,0.0,42.0
83a813fffffffff,3.0,0.0,0.0
83a814fffffffff,4.0,0.0,4.0
83a815fffffffff,219.0,0.0,79.0
83a816fffffffff,17.0,0.0,11.0
83a81cfffffffff,27.0,0.0,0.0
83a81dfffffffff,15.0,0.0,6.0
83a81efffffffff,13.0,0.0,5.0
83a820fffffffff,6.0,0.0,0.0
83a821fffffffff,4.0,0.0,4.0
83a822fffffffff,4.0,0.0,2.0
83a823fffffffff,7.0,0.0,0.0
83a824fffffffff,5.0,0.0,0.0
83a826fffffffff,3.0,0.0,3.0
83a82efffffffff,6.0,0.0,3.0
83a831fffffffff,99.0,0.0,26.0
83a833fffffffff,57.0,0.0,3.0
83a835fffffffff,122.0,0.0,19.0
83a881fffffffff,22.0,0.0,0.0
83a882fffffffff,9.0,0.0,2.0
83a884fffffffff,29.0,0.0,3.0
83a885fffffffff,2.0,0.0,2.0
83a886fffffffff,1.0,0.0,0.0
83a891fffffffff,7.0,0.0,1.0
83a8a0fffffffff,33.0,0.0,7.0
83a8a1fffffffff,166.0,0.0,60.0
83a8a2fffffffff,289.0,0.0,73.0
83a8a3fffffffff,110.0,0.0,32.0
83a8a5fffffffff,8.0,0.0,4.0
83a8aafffffffff,3.0,0.0,3.0
83a8acfffffffff,7.0,0.0,0.0
83a8adfffffffff,5.0,0.0,0.0
83a8aefffffffff,9.0,0.0,1.0
83a8b1fffffffff,3.0,0.0,1.0
83a8c2fffffffff,2.0,0.0,0.0
83a8c6fffffffff,4.0,0.0,0.0
83a8d1fffffffff,24.0,0.0,8.0
83a8defffffffff,5.0,0.0,0.0
83a901fffffffff,2.0,0.0,0.0
83a908fffffffff,12.0,0.0,4.0
83a90cfffffffff,5.0,0.0,3.0
83a90dfffffffff,3.0,0.0,0.0
83a90efffffffff,36.0,0.0,12.0
83a918fffffffff,9.0,0.0,1.0
83a919fffffffff,35.0,0.0,0.0
83a91bfffffffff,148.0,0.0,36.0
83a91dfffffffff,72.0,0.0,10.0
83a92efffffffff,20.0,0.0,9.0
83a942fffffffff,12.0,0.0,0.0
83a943fffffffff,12.0,0.0,0.0
83a946fffffffff,11.0,0.0,0.0
83a950fffffffff,85.0,0.0,0.0
83a953fffffffff,49.0,0.0,0.0
83a954fffffffff,1.0,0.0,0.0
83a955fffffffff,5.0,0.0,0.0
83a95afffffffff,2.0,0.0,0.0
