cell_id,Sphecotheres vieilloti,Sphecotheres vieilloti [flaviventris Group],Sphecotheres vieilloti salvadorii,Sphecotheres vieilloti vieilloti
827297fffffffff,18.0,0.0,0.0,0.0
82941ffffffffff,8.0,0.0,0.0,0.0
829457fffffffff,3221.0,171.0,0.0,0.0
82945ffffffffff,355.0,0.0,0.0,0.0
82948ffffffffff,7.0,0.0,0.0,0.0
8294affffffffff,1.0,0.0,0.0,0.0
8294e7fffffffff,8.0,0.0,0.0,0.0
8294effffffffff,191.0,0.0,0.0,0.0
8294f7fffffffff,8.0,0.0,0.0,0.0
829c07fffffffff,1407.0,0.0,0.0,0.0
829c0ffffffffff,32.0,0.0,0.0,0.0
829c1ffffffffff,551.0,0.0,0.0,0.0
829c27fffffffff,7673.0,0.0,0.0,0.0
829c2ffffffffff,14.0,0.0,0.0,0.0
829c4ffffffffff,7.0,0.0,0.0,0.0
829c5ffffffffff,16.0,0.0,0.0,0.0
829c67fffffffff,1.0,0.0,0.0,0.0
829c77fffffffff,51.0,0.0,0.0,0.0
829ca7fffffffff,19.0,0.0,0.0,0.0
829caffffffffff,217.0,0.0,0.0,0.0
829ce7fffffffff,56.0,0.0,0.0,0.0
829ceffffffffff,35.0,0.0,0.0,0.0
829cf7fffffffff,99.0,0.0,0.0,0.0
829d07fffffffff,399.0,0.0,0.0,0.0
829d0ffffffffff,954.0,0.0,0.0,0.0
829d27fffffffff,952.0,0.0,0.0,0.0
829d2ffffffffff,159.0,0.0,0.0,0.0
829d57fffffffff,4.0,0.0,0.0,0.0
82be0ffffffffff,4397.0,0.0,0.0,0.0
82be1ffffffffff,1768.0,0.0,0.0,0.0
82be2ffffffffff,20.0,0.0,0.0,0.0
82be77fffffffff,217.0,0.0,0.0,0.0
82be8ffffffffff,15544.0,0.0,0.0,0.0
82beaffffffffff,3180.0,0.0,0.0,0.0
82bec7fffffffff,8.0,0.0,0.0,0.0
82bed7fffffffff,55.0,0.0,0.0,0.0
82bedffffffffff,57.0,0.0,0.0,0.0
82bee7fffffffff,6.0,0.0,0.0,0.0
82bef7fffffffff,1337.0,0.0,0.0,0.0
