cell_id,Amytornis textilis,Amytornis textilis textilis,Amytornis textilis myall
83a626fffffffff,125.0,54.0,0.0
83a719fffffffff,2.0,0.0,0.0
83a71bfffffffff,41.0,20.0,0.0
83b912fffffffff,107.0,0.0,41.0
83b9acfffffffff,82.0,0.0,12.0
83b9adfffffffff,39.0,0.0,16.0
