cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
840c697ffffffff,2.0,0.0,0.0
84129b9ffffffff,2.0,0.0,0.0
8428001ffffffff,4.0,0.0,0.0
8428003ffffffff,6.0,0.0,0.0
8428007ffffffff,3.0,0.0,0.0
8428023ffffffff,8.0,0.0,0.0
842802bffffffff,6.0,0.0,0.0
8428041ffffffff,11.0,0.0,0.0
8428047ffffffff,7.0,0.0,0.0
842804dffffffff,3.0,1.0,0.0
842806bffffffff,6.0,1.0,0.0
8428191ffffffff,5.0,0.0,0.0
8428195ffffffff,100.0,0.0,0.0
8428199ffffffff,3.0,0.0,0.0
842819dffffffff,2.0,0.0,0.0
84281b3ffffffff,4.0,0.0,0.0
84281c9ffffffff,3.0,1.0,0.0
84281cbffffffff,2.0,0.0,0.0
8428301ffffffff,4.0,0.0,0.0
8428309ffffffff,100.0,0.0,0.0
842830bffffffff,1.0,0.0,0.0
8428311ffffffff,7.0,0.0,0.0
8428319ffffffff,24.0,1.0,0.0
842831dffffffff,8.0,0.0,0.0
8428341ffffffff,47.0,0.0,0.0
8428343ffffffff,81.0,0.0,0.0
8428347ffffffff,2.0,0.0,0.0
8428349ffffffff,74.0,0.0,0.0
842834dffffffff,286.0,9.0,0.0
8428355ffffffff,972.0,124.0,0.0
8428357ffffffff,50.0,2.0,0.0
842835dffffffff,70.0,0.0,0.0
8428c35ffffffff,4.0,0.0,0.0
8428c47ffffffff,4.0,0.0,0.0
8428c61ffffffff,12.0,0.0,0.0
8428c6bffffffff,31.0,12.0,0.0
8428d11ffffffff,2.0,0.0,0.0
8428d17ffffffff,7.0,0.0,0.0
8428d19ffffffff,18.0,0.0,0.0
8428d1bffffffff,2.0,0.0,0.0
8428d55ffffffff,2.0,0.0,0.0
8428d57ffffffff,3.0,0.0,0.0
8428d5dffffffff,12.0,0.0,0.0
8428dc9ffffffff,2.0,0.0,0.0
8428de9ffffffff,6.0,0.0,0.0
8428f01ffffffff,17.0,0.0,0.0
8428f19ffffffff,1.0,0.0,0.0
8428f51ffffffff,7.0,0.0,0.0
8428f57ffffffff,20.0,0.0,0.0
8428f59ffffffff,51.0,3.0,0.0
8428f5bffffffff,3.0,0.0,0.0
8429063ffffffff,1.0,0.0,0.0
8429103ffffffff,12.0,0.0,0.0
8429105ffffffff,14.0,0.0,0.0
8429107ffffffff,13.0,0.0,0.0
8429121ffffffff,100.0,1.0,0.0
8429123ffffffff,10.0,0.0,0.0
8429125ffffffff,72.0,0.0,0.0
8429127ffffffff,93.0,0.0,0.0
8429129ffffffff,11.0,0.0,0.0
842912bffffffff,12.0,0.0,0.0
842912dffffffff,443.0,4.0,0.0
8429131ffffffff,6.0,0.0,0.0
8429137ffffffff,2.0,0.0,0.0
8429139ffffffff,11.0,0.0,0.0
842913dffffffff,22.0,0.0,0.0
8429161ffffffff,9.0,0.0,0.0
8429165ffffffff,12.0,0.0,0.0
8429167ffffffff,21.0,0.0,0.0
842916dffffffff,15.0,0.0,0.0
84291a3ffffffff,2.0,0.0,0.0
84291a7ffffffff,40.0,1.0,0.0
8429a19ffffffff,1.0,0.0,0.0
8429a41ffffffff,188.0,4.0,0.0
8429a49ffffffff,105.0,17.0,0.0
8429a4bffffffff,158.0,5.0,0.0
