cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
8209a7fffffffff,3.0,0.0,0.0
821aa7fffffffff,8.0,0.0,0.0
821b9ffffffffff,4.0,0.0,0.0
822607fffffffff,15.0,0.0,0.0
82260ffffffffff,9.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0
82261ffffffffff,6.0,0.0,0.0
822627fffffffff,10.0,0.0,0.0
82262ffffffffff,6.0,0.0,0.0
822637fffffffff,52.0,0.0,0.0
822647fffffffff,60.0,0.0,0.0
82264ffffffffff,63.0,0.0,0.0
822657fffffffff,20.0,0.0,0.0
82265ffffffffff,8.0,0.0,0.0
822667fffffffff,131.0,0.0,0.0
82266ffffffffff,63.0,0.0,0.0
822687fffffffff,6.0,0.0,0.0
82268ffffffffff,45.0,0.0,0.0
8226affffffffff,5.0,0.0,0.0
8226c7fffffffff,9.0,0.0,0.0
8226cffffffffff,46.0,0.0,0.0
8226dffffffffff,15.0,0.0,0.0
8226e7fffffffff,36.0,0.0,0.0
8226effffffffff,6.0,0.0,0.0
8226f7fffffffff,10.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0
82270ffffffffff,1.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,9.0,0.0,0.0
822747fffffffff,74.0,0.0,0.0
82274ffffffffff,128.0,0.0,0.0
822757fffffffff,65.0,0.0,0.0
82275ffffffffff,247.0,0.0,0.0
822767fffffffff,43.0,0.0,0.0
82276ffffffffff,23.0,0.0,0.0
822777fffffffff,3.0,0.0,0.0
822807fffffffff,5.0,0.0,0.0
822817fffffffff,7.0,0.0,0.0
82281ffffffffff,1.0,0.0,0.0
822837fffffffff,637.0,0.0,0.0
822917fffffffff,19.0,0.0,0.0
82291ffffffffff,4.0,0.0,0.0
822987fffffffff,10.0,0.0,0.0
82298ffffffffff,4.0,0.0,0.0
822997fffffffff,2.0,0.0,0.0
8229a7fffffffff,301.0,0.0,0.0
8229affffffffff,138.0,0.0,0.0
8229b7fffffffff,147.0,0.0,0.0
822a17fffffffff,478.0,1.0,0.0
822a37fffffffff,700.0,0.0,0.0
822a87fffffffff,13.0,0.0,0.0
822a8ffffffffff,109.0,0.0,0.0
822a97fffffffff,194.0,0.0,0.0
822a9ffffffffff,1.0,0.0,0.0
822aa7fffffffff,256.0,0.0,0.0
822aaffffffffff,429.0,0.0,0.0
822ab7fffffffff,387.0,0.0,0.0
822ad7fffffffff,54.0,0.0,0.0
822af7fffffffff,84.0,0.0,0.0
822b07fffffffff,44.0,0.0,0.0
822b0ffffffffff,16.0,0.0,0.0
822b17fffffffff,6.0,0.0,0.0
822b1ffffffffff,64.0,0.0,0.0
822b37fffffffff,2.0,0.0,0.0
822b87fffffffff,270.0,0.0,0.0
822b8ffffffffff,541.0,0.0,0.0
822b97fffffffff,6.0,0.0,0.0
822b9ffffffffff,781.0,0.0,0.0
822ba7fffffffff,3.0,0.0,0.0
822baffffffffff,1220.0,0.0,0.0
8235affffffffff,4.0,0.0,0.0
824417fffffffff,26.0,0.0,0.0
82441ffffffffff,55.0,0.0,0.0
824437fffffffff,2.0,0.0,0.0
824447fffffffff,205.0,0.0,0.0
82444ffffffffff,31.0,0.0,0.0
824457fffffffff,393.0,0.0,0.0
82445ffffffffff,7.0,0.0,0.0
824467fffffffff,34.0,0.0,0.0
82446ffffffffff,79.0,0.0,0.0
824477fffffffff,25.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
8244affffffffff,92.0,0.0,0.0
8244b7fffffffff,16.0,0.0,0.0
