cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
825f4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,10.0,3.0,0.0,0.0,0.0,0.0,0.0
826607fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,199.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,421.0,0.0,11.0,0.0,0.0,0.0,0.0
826627fffffffff,720.0,0.0,36.0,0.0,0.0,0.0,0.0
82662ffffffffff,49.0,0.0,4.0,0.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,85.0,0.0,2.0,0.0,0.0,0.0,0.0
8266d7fffffffff,526.0,0.0,48.0,0.0,0.0,0.0,0.0
8266dffffffffff,121.0,0.0,7.0,0.0,0.0,0.0,0.0
8266e7fffffffff,1088.0,0.0,20.0,0.0,0.0,0.0,0.0
8266f7fffffffff,155.0,0.0,2.0,0.0,0.0,0.0,0.0
826747fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
82674ffffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
828007fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
828017fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
828107fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
828127fffffffff,17.0,0.0,0.0,0.0,0.0,1.0,0.0
82812ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828177fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828187fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8281affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,27.0,0.0,0.0,3.0,0.0,0.0,0.0
828b2ffffffffff,46.0,0.0,0.0,3.0,0.0,0.0,0.0
828b67fffffffff,105.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
828b77fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
828bb7fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
828e47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,49.0,0.0,3.0,0.0,0.0,0.0,0.0
828f47fffffffff,8.0,0.0,0.0,1.0,0.0,0.0,0.0
