cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
832db0fffffffff,2.0,0.0,0.0
8343a1fffffffff,4.0,0.0,0.0
835413fffffffff,4.0,4.0,0.0
8354acfffffffff,3.0,0.0,0.0
8354e2fffffffff,2.0,0.0,0.0
8354f4fffffffff,2.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0
8358a4fffffffff,2.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0
836ad8fffffffff,4.0,0.0,0.0
837a40fffffffff,3.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0
837a61fffffffff,4.0,0.0,0.0
837a64fffffffff,8.0,0.0,0.0
837a65fffffffff,2.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,6.0,0.0,0.0
837a6afffffffff,5.0,0.0,0.0
837a6efffffffff,1.0,0.0,0.0
837ac8fffffffff,5.0,0.0,0.0
837ac9fffffffff,3.0,0.0,0.0
837acafffffffff,6.0,0.0,0.0
837b4afffffffff,2.0,0.0,0.0
837b59fffffffff,2.0,0.0,0.0
83962dfffffffff,3.0,0.0,0.0
839690fffffffff,4.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0
839693fffffffff,1.0,0.0,0.0
839711fffffffff,3.0,0.0,0.0
83974afffffffff,3.0,0.0,0.0
839751fffffffff,6.0,0.0,4.0
83975bfffffffff,2.0,0.0,0.0
83ac8afffffffff,2.0,0.0,0.0
83aca6fffffffff,9.0,0.0,0.0
83ad36fffffffff,23.0,0.0,11.0
83bc6afffffffff,2.0,0.0,0.0
83bc6bfffffffff,2.0,0.0,2.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd4fffffffff,2.0,0.0,2.0
83bcd6fffffffff,1.0,0.0,1.0
83bcddfffffffff,2.0,0.0,0.0
83bcf2fffffffff,3.0,0.0,0.0
83bcf5fffffffff,9.0,0.0,0.0
