cell_id,Todiramphus chloris,Todiramphus chloris abyssinicus,Todiramphus chloris kalbaensis,Todiramphus chloris [humii Group],Todiramphus chloris occipitalis,Todiramphus chloris [chloris Group]
833c88fffffffff,144.0,0.0,0.0,0.0,0.0,0.0
833c89fffffffff,132.0,0.0,0.0,0.0,0.0,0.0
833cc2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
833cc6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833cd1fffffffff,21.0,0.0,0.0,1.0,0.0,0.0
833cd4fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
833cd5fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
833cdefffffffff,3.0,0.0,0.0,0.0,0.0,0.0
833cf2fffffffff,617.0,0.0,0.0,32.0,0.0,0.0
833cf3fffffffff,113.0,0.0,0.0,13.0,0.0,0.0
834142fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8343a8fffffffff,169.0,0.0,82.0,0.0,0.0,0.0
8343aefffffffff,14.0,0.0,8.0,0.0,0.0,0.0
834b91fffffffff,28.0,0.0,0.0,0.0,0.0,6.0
834b93fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
834b9cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835211fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835215fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8360a9fffffffff,237.0,0.0,0.0,0.0,0.0,0.0
83640afffffffff,633.0,0.0,0.0,0.0,0.0,0.0
83640bfffffffff,126.0,0.0,0.0,0.0,0.0,0.0
83640dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836412fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836415fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836416fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
836419fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
836422fffffffff,78.0,0.0,0.0,15.0,0.0,0.0
836426fffffffff,65.0,0.0,0.0,18.0,0.0,0.0
836428fffffffff,76.0,0.0,0.0,0.0,0.0,0.0
836429fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83642bfffffffff,20.0,0.0,0.0,0.0,0.0,0.0
83642cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83642dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836430fffffffff,24.0,0.0,0.0,2.0,0.0,0.0
836431fffffffff,95.0,0.0,0.0,34.0,0.0,0.0
836432fffffffff,34.0,0.0,0.0,12.0,0.0,0.0
836433fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836434fffffffff,33.0,0.0,0.0,11.0,0.0,0.0
