cell_id,Lalage melanoleuca,Lalage melanoleuca melanoleuca,Lalage melanoleuca minor
8468417ffffffff,1.0,0.0,0.0
8468435ffffffff,3.0,0.0,2.0
8468447ffffffff,1.0,0.0,0.0
84684e5ffffffff,101.0,0.0,5.0
846856bffffffff,2.0,0.0,0.0
846858bffffffff,2.0,0.0,0.0
84685dbffffffff,2.0,0.0,0.0
84685e1ffffffff,1.0,0.0,0.0
84685e9ffffffff,20.0,0.0,6.0
84685ebffffffff,1.0,0.0,0.0
84686e9ffffffff,3.0,0.0,0.0
8469439ffffffff,11.0,2.0,0.0
84694a9ffffffff,5.0,1.0,0.0
84694b7ffffffff,1.0,0.0,0.0
84694e1ffffffff,3.0,0.0,0.0
84694e5ffffffff,32.0,3.0,0.0
84694e7ffffffff,1.0,0.0,0.0
84694e9ffffffff,5.0,0.0,0.0
846958bffffffff,12.0,0.0,0.0
846968bffffffff,6.0,0.0,0.0
84696c3ffffffff,1.0,0.0,0.0
84696cbffffffff,4.0,3.0,0.0
84696d3ffffffff,1.0,0.0,0.0
84696d7ffffffff,38.0,13.0,0.0
