cell_id,Myiobius atricaudus,Myiobius atricaudus [atricaudus Group],Myiobius atricaudus ridgwayi
835f42fffffffff,2.0,0.0,0.0
835f68fffffffff,4.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0
836601fffffffff,1.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,28.0,0.0,0.0
836606fffffffff,6.0,0.0,0.0
836608fffffffff,8.0,0.0,0.0
83660afffffffff,8.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0
836610fffffffff,189.0,11.0,0.0
836611fffffffff,9.0,0.0,0.0
836612fffffffff,2.0,0.0,0.0
836613fffffffff,70.0,2.0,0.0
836616fffffffff,68.0,4.0,0.0
836618fffffffff,43.0,0.0,0.0
836619fffffffff,174.0,0.0,0.0
83661bfffffffff,28.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0
836631fffffffff,2.0,0.0,0.0
8366a2fffffffff,4.0,0.0,0.0
8366a3fffffffff,13.0,0.0,0.0
8366a5fffffffff,576.0,32.0,0.0
8366a9fffffffff,1.0,0.0,0.0
8366b0fffffffff,194.0,0.0,0.0
8366b4fffffffff,129.0,0.0,0.0
8366b5fffffffff,56.0,0.0,0.0
8366d0fffffffff,12.0,2.0,0.0
8366d2fffffffff,4.0,0.0,0.0
8366d3fffffffff,26.0,1.0,0.0
8366d8fffffffff,7.0,0.0,0.0
8366dcfffffffff,30.0,1.0,0.0
8366ddfffffffff,6.0,4.0,0.0
8366defffffffff,11.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0
8366e6fffffffff,361.0,0.0,0.0
8366f0fffffffff,13.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
8366f3fffffffff,15.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0
83679bfffffffff,4.0,0.0,0.0
838000fffffffff,2.0,0.0,0.0
838002fffffffff,11.0,0.0,0.0
838005fffffffff,3.0,0.0,0.0
83800cfffffffff,1.0,0.0,0.0
838010fffffffff,56.0,0.0,0.0
838011fffffffff,6.0,0.0,0.0
838030fffffffff,9.0,0.0,0.0
838036fffffffff,91.0,0.0,0.0
838065fffffffff,2.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0
838102fffffffff,2.0,0.0,0.0
838121fffffffff,10.0,0.0,0.0
838124fffffffff,5.0,0.0,0.0
83812bfffffffff,2.0,0.0,0.0
83812dfffffffff,1.0,0.0,0.0
838133fffffffff,4.0,0.0,0.0
838146fffffffff,1.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838171fffffffff,24.0,5.0,0.0
838a1afffffffff,8.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
838a63fffffffff,8.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,5.0,0.0,0.0
838a6dfffffffff,6.0,0.0,0.0
838a70fffffffff,3.0,0.0,0.0
838a8efffffffff,2.0,0.0,0.0
838aa9fffffffff,1.0,0.0,0.0
838af0fffffffff,2.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0
838f0dfffffffff,86.0,14.0,0.0
838f28fffffffff,1.0,1.0,0.0
838f29fffffffff,18.0,0.0,0.0
838f2afffffffff,99.0,10.0,0.0
838f2bfffffffff,54.0,13.0,0.0
838f2cfffffffff,50.0,0.0,0.0
838f2efffffffff,3.0,0.0,0.0
838f40fffffffff,74.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f46fffffffff,11.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f6bfffffffff,3.0,0.0,0.0
838f72fffffffff,17.0,0.0,0.0
83a806fffffffff,30.0,0.0,2.0
83a810fffffffff,78.0,0.0,0.0
83a812fffffffff,65.0,0.0,1.0
83a814fffffffff,1.0,0.0,0.0
83a815fffffffff,63.0,0.0,5.0
83a831fffffffff,12.0,0.0,0.0
83a833fffffffff,10.0,0.0,0.0
83a835fffffffff,38.0,0.0,0.0
83a880fffffffff,2.0,0.0,0.0
83a881fffffffff,8.0,0.0,0.0
83a882fffffffff,33.0,0.0,5.0
83a883fffffffff,1.0,0.0,0.0
83a884fffffffff,25.0,0.0,0.0
83a889fffffffff,8.0,0.0,0.0
83a88bfffffffff,2.0,0.0,0.0
83a891fffffffff,6.0,0.0,1.0
83a8a1fffffffff,156.0,0.0,10.0
83a8a2fffffffff,22.0,0.0,1.0
83a8a3fffffffff,12.0,0.0,0.0
83a8a5fffffffff,2.0,0.0,0.0
83a8a9fffffffff,1.0,0.0,0.0
83a8acfffffffff,7.0,0.0,0.0
83a8adfffffffff,2.0,0.0,0.0
83a8aefffffffff,4.0,0.0,0.0
83a8d1fffffffff,26.0,0.0,0.0
83a8defffffffff,32.0,0.0,0.0
