cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
82524ffffffffff,7.0,3.0,0.0,0.0
825287fffffffff,2.0,0.0,0.0,0.0
825297fffffffff,11.0,0.0,0.0,0.0
82529ffffffffff,74.0,0.0,0.0,0.0
82540ffffffffff,7.0,0.0,0.0,0.0
825417fffffffff,191.0,50.0,0.0,0.0
82541ffffffffff,208.0,29.0,0.0,0.0
825447fffffffff,6.0,0.0,0.0,0.0
82544ffffffffff,2.0,0.0,0.0,0.0
8254affffffffff,264.0,35.0,0.0,0.0
8254c7fffffffff,20.0,7.0,0.0,0.0
8254cffffffffff,1.0,0.0,0.0,0.0
8254e7fffffffff,101.0,24.0,0.0,0.0
8254effffffffff,6.0,2.0,0.0,0.0
8254f7fffffffff,160.0,19.0,0.0,0.0
82585ffffffffff,8.0,2.0,0.0,0.0
825887fffffffff,2.0,0.0,0.0,0.0
82588ffffffffff,2.0,0.0,0.0,0.0
825897fffffffff,115.0,0.0,0.0,0.0
82589ffffffffff,2.0,0.0,0.0,0.0
8258a7fffffffff,8.0,0.0,0.0,0.0
8258b7fffffffff,3.0,0.0,0.0,0.0
8258c7fffffffff,3.0,3.0,0.0,0.0
8258cffffffffff,7.0,0.0,0.0,0.0
8258dffffffffff,1.0,0.0,0.0,0.0
8258e7fffffffff,14.0,0.0,0.0,0.0
8258f7fffffffff,2.0,0.0,0.0,0.0
82598ffffffffff,4.0,0.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0,0.0
82599ffffffffff,30.0,2.0,0.0,0.0
826a47fffffffff,6.0,0.0,0.0,0.0
826a4ffffffffff,7.0,0.0,0.0,0.0
826a5ffffffffff,10.0,1.0,0.0,0.0
826a6ffffffffff,11.0,0.0,0.0,0.0
826a9ffffffffff,2.0,0.0,0.0,0.0
826ac7fffffffff,500.0,56.0,0.0,0.0
826acffffffffff,1177.0,84.0,0.0,0.0
826adffffffffff,508.0,32.0,0.0,0.0
826ae7fffffffff,2.0,0.0,0.0,0.0
826aeffffffffff,309.0,44.0,0.0,0.0
826b17fffffffff,3.0,0.0,0.0,0.0
826b6ffffffffff,2.0,0.0,0.0,0.0
82750ffffffffff,127.0,7.0,0.0,0.0
827517fffffffff,2.0,0.0,0.0,0.0
82751ffffffffff,3.0,0.0,0.0,0.0
827527fffffffff,243.0,12.0,0.0,0.0
82752ffffffffff,34.0,2.0,0.0,0.0
827537fffffffff,5.0,0.0,0.0,0.0
827577fffffffff,58.0,0.0,0.0,0.0
827587fffffffff,7.0,0.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0,0.0
827a47fffffffff,167.0,8.0,0.0,0.0
827a4ffffffffff,345.0,40.0,0.0,0.0
827a67fffffffff,254.0,14.0,0.0,0.0
827a6ffffffffff,940.0,60.0,0.0,0.0
827acffffffffff,454.0,0.0,0.0,0.0
827adffffffffff,47.0,0.0,0.0,0.0
827aeffffffffff,2.0,0.0,0.0,0.0
827b4ffffffffff,60.0,7.0,0.0,0.0
827b5ffffffffff,111.0,10.0,0.0,0.0
827b6ffffffffff,63.0,6.0,0.0,0.0
82821ffffffffff,8.0,1.0,0.0,0.0
82828ffffffffff,10.0,0.0,0.0,0.0
8282affffffffff,3.0,0.0,0.0,0.0
8282b7fffffffff,2.0,0.0,0.0,0.0
8282c7fffffffff,61.0,0.0,0.0,52.0
8282d7fffffffff,15.0,1.0,0.0,0.0
8282dffffffffff,2.0,0.0,0.0,0.0
8282e7fffffffff,35.0,0.0,18.0,0.0
8282f7fffffffff,28.0,9.0,0.0,0.0
828307fffffffff,1.0,0.0,0.0,0.0
828317fffffffff,14.0,2.0,0.0,0.0
82831ffffffffff,14.0,1.0,0.0,0.0
828327fffffffff,5.0,0.0,0.0,0.0
828337fffffffff,6.0,0.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0,0.0
82838ffffffffff,5.0,0.0,0.0,0.0
8283affffffffff,1.0,0.0,0.0,0.0
829607fffffffff,23.0,1.0,0.0,0.0
82960ffffffffff,27.0,2.0,0.0,0.0
829617fffffffff,16.0,1.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0,0.0
829627fffffffff,114.0,18.0,0.0,0.0
82962ffffffffff,94.0,19.0,0.0,0.0
829637fffffffff,69.0,12.0,0.0,0.0
829657fffffffff,3.0,1.0,0.0,0.0
829677fffffffff,3.0,0.0,0.0,0.0
829687fffffffff,3.0,0.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0,0.0
829697fffffffff,300.0,28.0,0.0,0.0
82969ffffffffff,61.0,6.0,0.0,0.0
8296a7fffffffff,8.0,0.0,0.0,0.0
8296affffffffff,2.0,0.0,0.0,0.0
8296b7fffffffff,121.0,8.0,0.0,0.0
829707fffffffff,12.0,0.0,0.0,0.0
82970ffffffffff,4.0,0.0,0.0,0.0
829717fffffffff,113.0,7.0,0.0,0.0
82971ffffffffff,15.0,0.0,0.0,0.0
829727fffffffff,6.0,0.0,0.0,0.0
82972ffffffffff,117.0,20.0,0.0,0.0
829737fffffffff,6.0,0.0,0.0,0.0
829747fffffffff,168.0,15.0,0.0,0.0
82974ffffffffff,556.0,133.0,0.0,0.0
829757fffffffff,203.0,26.0,0.0,0.0
82975ffffffffff,342.0,25.0,0.0,0.0
829777fffffffff,7.0,2.0,0.0,0.0
82978ffffffffff,6.0,0.0,0.0,0.0
82979ffffffffff,6.0,0.0,0.0,0.0
8297affffffffff,67.0,18.0,0.0,0.0
82ac8ffffffffff,19.0,9.0,0.0,0.0
82ac97fffffffff,34.0,3.0,0.0,0.0
82ac9ffffffffff,4.0,0.0,0.0,0.0
82ad37fffffffff,307.0,59.0,0.0,0.0
82ada7fffffffff,15.0,0.0,0.0,0.0
82adaffffffffff,8.0,0.0,0.0,0.0
82adb7fffffffff,3.0,0.0,0.0,0.0
82bc0ffffffffff,13.0,2.0,0.0,0.0
82bc1ffffffffff,28.0,4.0,0.0,0.0
82bc47fffffffff,127.0,16.0,0.0,0.0
82bc4ffffffffff,15.0,1.0,0.0,0.0
82bc57fffffffff,3.0,0.0,0.0,0.0
82bc6ffffffffff,41.0,7.0,0.0,0.0
82bc77fffffffff,28.0,3.0,0.0,0.0
82bc8ffffffffff,181.0,2.0,0.0,0.0
82bc9ffffffffff,14.0,0.0,0.0,0.0
82bcc7fffffffff,194.0,27.0,0.0,0.0
82bccffffffffff,8.0,2.0,0.0,0.0
82bcd7fffffffff,652.0,132.0,0.0,0.0
82bcdffffffffff,159.0,16.0,0.0,0.0
82bce7fffffffff,183.0,51.0,0.0,0.0
82bceffffffffff,14.0,2.0,0.0,0.0
82bcf7fffffffff,721.0,96.0,0.0,0.0
