cell_id,Turdus javanicus,Turdus javanicus loeseri,Turdus javanicus indrapurae,Turdus javanicus fumidus/biesenbachi,Turdus javanicus javanicus,Turdus javanicus whiteheadi/stresemanni,Turdus javanicus seebohmi
83652dfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
836811fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,20.0
838c10fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
838c16fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838cd0fffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
838d81fffffffff,5.0,0.0,0.0,0.0,0.0,3.0,0.0
838d84fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838d85fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
838d88fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838d89fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
838d8cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
838daafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
