cell_id,Fregata magnificens,Fregata magnificens rothschildi,Fregata magnificens magnificens
831a09fffffffff,1.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0
832640fffffffff,8.0,0.0,0.0
832646fffffffff,2.0,0.0,0.0
83264bfffffffff,15.0,0.0,0.0
83264cfffffffff,2.0,0.0,0.0
83264dfffffffff,3.0,0.0,0.0
832661fffffffff,13.0,0.0,0.0
832673fffffffff,1.0,0.0,0.0
83268cfffffffff,17.0,0.0,0.0
83268dfffffffff,3.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326e5fffffffff,3.0,0.0,0.0
8326eefffffffff,6.0,0.0,0.0
83274afffffffff,25.0,0.0,0.0
832834fffffffff,2.0,0.0,0.0
8328d5fffffffff,2.0,0.0,0.0
832912fffffffff,2.0,0.0,0.0
83298cfffffffff,2.0,0.0,0.0
832993fffffffff,2.0,0.0,0.0
832995fffffffff,5.0,0.0,0.0
8329a0fffffffff,4.0,0.0,0.0
8329a4fffffffff,76.0,0.0,0.0
8329a5fffffffff,22.0,0.0,0.0
8329a6fffffffff,26.0,0.0,0.0
8329aafffffffff,2.0,0.0,0.0
832a15fffffffff,5.0,0.0,0.0
832a1afffffffff,7.0,0.0,0.0
832a30fffffffff,13.0,0.0,0.0
832a31fffffffff,16.0,0.0,0.0
832a33fffffffff,15.0,0.0,0.0
832a34fffffffff,2.0,0.0,0.0
832a4cfffffffff,2.0,0.0,0.0
832a85fffffffff,4.0,0.0,0.0
832a9bfffffffff,1.0,0.0,0.0
832aa4fffffffff,2.0,0.0,0.0
832aa5fffffffff,2.0,0.0,0.0
832aa9fffffffff,1.0,0.0,0.0
832aaafffffffff,2.0,0.0,0.0
832aadfffffffff,53.0,0.0,0.0
832ab0fffffffff,9.0,0.0,0.0
832ab2fffffffff,43.0,0.0,0.0
832ac6fffffffff,9.0,0.0,0.0
832ad0fffffffff,10.0,0.0,0.0
832ad1fffffffff,8.0,0.0,0.0
832ad3fffffffff,20.0,0.0,0.0
832ad5fffffffff,7.0,0.0,0.0
832af0fffffffff,10.0,0.0,0.0
832af1fffffffff,15.0,0.0,0.0
832af3fffffffff,3.0,0.0,0.0
832b0afffffffff,4.0,0.0,0.0
832b12fffffffff,2.0,0.0,0.0
832b8afffffffff,2.0,0.0,0.0
