cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
824527fffffffff,265.0,0.0,124.0
824807fffffffff,133.0,0.0,0.0
82480ffffffffff,380.0,0.0,0.0
824817fffffffff,13.0,0.0,0.0
82481ffffffffff,1.0,0.0,0.0
824837fffffffff,1117.0,14.0,0.0
8248e7fffffffff,18.0,0.0,0.0
824987fffffffff,5.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,9.0,0.0,0.0
8249affffffffff,1177.0,97.0,0.0
8249b7fffffffff,315.0,0.0,0.0
826d07fffffffff,26.0,0.0,2.0
826d27fffffffff,263.0,0.0,78.0
826d2ffffffffff,1003.0,0.0,607.0
826d37fffffffff,51.0,11.0,0.0
