cell_id,Cacicus cela,Cacicus cela flavicrissus/vitellinus,Cacicus cela cela
824417fffffffff,1.0,0.0,0.0
825f5ffffffffff,11.0,0.0,11.0
82660ffffffffff,1.0,0.0,0.0
826617fffffffff,21.0,0.0,0.0
82661ffffffffff,62.0,0.0,0.0
826627fffffffff,6.0,0.0,0.0
82665ffffffffff,4.0,0.0,0.0
8266a7fffffffff,7.0,0.0,0.0
8266d7fffffffff,6.0,2.0,2.0
8266dffffffffff,9.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
82675ffffffffff,7.0,0.0,3.0
828047fffffffff,2.0,0.0,0.0
82812ffffffffff,1.0,0.0,1.0
828167fffffffff,2.0,0.0,0.0
828187fffffffff,7.0,0.0,0.0
828a07fffffffff,8.0,0.0,1.0
828a27fffffffff,1.0,0.0,1.0
828a47fffffffff,11.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0
828b5ffffffffff,11.0,0.0,11.0
828b67fffffffff,36.0,0.0,36.0
828f0ffffffffff,121.0,19.0,0.0
828f2ffffffffff,63.0,4.0,0.0
828f47fffffffff,6.0,0.0,6.0
828f67fffffffff,1.0,0.0,0.0
828f6ffffffffff,18.0,0.0,0.0
828f77fffffffff,8.0,0.0,0.0
82a817fffffffff,2.0,0.0,0.0
82a8c7fffffffff,2.0,0.0,0.0
