cell_id,Aethopyga pulcherrima,Aethopyga pulcherrima jefferyi,Aethopyga pulcherrima decorosa,Aethopyga pulcherrima pulcherrima
8468415ffffffff,9.0,0.0,0.0,9.0
8468423ffffffff,1.0,0.0,0.0,1.0
8468435ffffffff,2.0,0.0,0.0,2.0
8468439ffffffff,8.0,0.0,0.0,8.0
8468447ffffffff,101.0,0.0,97.0,0.0
846846bffffffff,2.0,0.0,2.0,0.0
84684e5ffffffff,201.0,0.0,0.0,199.0
846856bffffffff,8.0,0.0,0.0,8.0
8468583ffffffff,1.0,0.0,0.0,1.0
846858bffffffff,4.0,0.0,0.0,4.0
84685d7ffffffff,4.0,0.0,0.0,4.0
84685d9ffffffff,2.0,0.0,0.0,2.0
84685dbffffffff,3.0,0.0,0.0,3.0
84685e1ffffffff,2.0,0.0,0.0,2.0
84685e3ffffffff,10.0,0.0,0.0,10.0
84685e7ffffffff,42.0,0.0,0.0,41.0
84685e9ffffffff,25.0,0.0,0.0,25.0
84685edffffffff,3.0,0.0,0.0,3.0
8468633ffffffff,1.0,0.0,0.0,0.0
84694e1ffffffff,52.0,52.0,0.0,0.0
84694e5ffffffff,5.0,5.0,0.0,0.0
84694e7ffffffff,9.0,9.0,0.0,0.0
8469683ffffffff,1.0,1.0,0.0,0.0
8469685ffffffff,151.0,146.0,0.0,0.0
846968bffffffff,1.0,1.0,0.0,0.0
84696a5ffffffff,4.0,4.0,0.0,0.0
84696a9ffffffff,7.0,6.0,0.0,0.0
84696adffffffff,19.0,19.0,0.0,0.0
84696c1ffffffff,2.0,2.0,0.0,0.0
84696cbffffffff,1.0,1.0,0.0,0.0
84696e3ffffffff,8.0,8.0,0.0,0.0
