cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
8445225ffffffff,1.0,1.0,0.0
846610bffffffff,5.0,0.0,0.0
8466129ffffffff,1.0,0.0,1.0
8466139ffffffff,10.0,0.0,10.0
84661b1ffffffff,2.0,0.0,0.0
84661ebffffffff,5.0,0.0,5.0
8466a01ffffffff,13.0,0.0,0.0
8466a05ffffffff,20.0,0.0,0.0
8466a0bffffffff,1.0,0.0,0.0
8466a1dffffffff,3.0,0.0,0.0
8466a57ffffffff,7.0,0.0,0.0
8466b49ffffffff,4.0,4.0,0.0
8466d0bffffffff,3.0,3.0,0.0
8466d23ffffffff,5.0,0.0,5.0
8466d31ffffffff,6.0,0.0,2.0
8466d35ffffffff,11.0,0.0,11.0
8466f03ffffffff,6.0,0.0,0.0
8466f0bffffffff,2.0,0.0,2.0
8466f1dffffffff,1.0,1.0,0.0
8467915ffffffff,2.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
846794dffffffff,5.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0
84679a5ffffffff,27.0,16.0,2.0
846d699ffffffff,1.0,1.0,0.0
846d69bffffffff,2.0,2.0,0.0
846d6d3ffffffff,1.0,0.0,0.0
848f0dbffffffff,9.0,0.0,7.0
848f2a9ffffffff,8.0,0.0,0.0
