cell_id,Chrysuronia versicolor,Chrysuronia versicolor [versicolor Group],Chrysuronia versicolor rondoniae
835f40fffffffff,4.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f4bfffffffff,8.0,0.0,0.0
835f63fffffffff,1.0,0.0,0.0
835f68fffffffff,13.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
835f75fffffffff,14.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0
83660dfffffffff,13.0,0.0,0.0
836641fffffffff,352.0,0.0,0.0
836644fffffffff,5.0,0.0,0.0
836645fffffffff,8.0,0.0,0.0
836648fffffffff,13.0,0.0,0.0
83664bfffffffff,2.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0
836652fffffffff,41.0,0.0,0.0
836654fffffffff,16.0,0.0,0.0
836656fffffffff,118.0,0.0,0.0
83665afffffffff,490.0,21.0,0.0
83665bfffffffff,125.0,2.0,0.0
83665efffffffff,9.0,0.0,0.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,53.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0
83666efffffffff,1.0,0.0,0.0
836670fffffffff,21.0,0.0,0.0
836672fffffffff,18.0,0.0,0.0
836673fffffffff,10.0,0.0,0.0
836676fffffffff,6.0,0.0,0.0
8366c0fffffffff,9.0,0.0,0.0
8366c5fffffffff,39.0,0.0,0.0
8366cdfffffffff,18.0,0.0,0.0
8366cefffffffff,5.0,0.0,0.0
8366e0fffffffff,19.0,0.0,0.0
8366e1fffffffff,126.0,0.0,0.0
8366e3fffffffff,23.0,0.0,0.0
8366e5fffffffff,256.0,0.0,0.0
8366e8fffffffff,3.0,0.0,0.0
8366e9fffffffff,12.0,2.0,0.0
8366ecfffffffff,251.0,0.0,0.0
8366eefffffffff,94.0,0.0,0.0
838010fffffffff,122.0,0.0,0.0
838036fffffffff,4.0,0.0,0.0
838046fffffffff,3.0,0.0,0.0
83804cfffffffff,7.0,0.0,0.0
838065fffffffff,3.0,0.0,0.0
838073fffffffff,4.0,0.0,0.0
838102fffffffff,71.0,0.0,0.0
838106fffffffff,12.0,0.0,0.0
83811efffffffff,3.0,0.0,0.0
838121fffffffff,20.0,0.0,0.0
838124fffffffff,32.0,0.0,0.0
83812dfffffffff,13.0,0.0,0.0
