cell_id,Megaceryle torquata,Megaceryle torquata torquata/stictipennis,Megaceryle torquata stellata
824507fffffffff,760.0,3.0,0.0
82450ffffffffff,357.0,31.0,0.0
82451ffffffffff,1.0,1.0,0.0
824527fffffffff,2702.0,0.0,0.0
82452ffffffffff,10249.0,215.0,0.0
824537fffffffff,737.0,0.0,0.0
824577fffffffff,152.0,8.0,0.0
824807fffffffff,2.0,0.0,0.0
824837fffffffff,627.0,23.0,0.0
824887fffffffff,2086.0,0.0,0.0
82488ffffffffff,327.0,0.0,0.0
82489ffffffffff,803.0,0.0,0.0
8248a7fffffffff,1122.0,0.0,0.0
8248b7fffffffff,12422.0,0.0,0.0
824997fffffffff,1119.0,80.0,0.0
82499ffffffffff,260.0,0.0,0.0
8249a7fffffffff,69.0,0.0,0.0
8249affffffffff,620.0,36.0,0.0
8249b7fffffffff,85.0,0.0,0.0
825e47fffffffff,90.0,0.0,0.0
825f07fffffffff,36.0,3.0,0.0
825f0ffffffffff,388.0,0.0,0.0
825f17fffffffff,100.0,0.0,0.0
825f1ffffffffff,90.0,0.0,0.0
825f27fffffffff,3.0,0.0,0.0
825f2ffffffffff,894.0,2.0,0.0
825f47fffffffff,76.0,0.0,0.0
825f4ffffffffff,83.0,0.0,0.0
825f57fffffffff,10.0,0.0,0.0
825f5ffffffffff,562.0,0.0,0.0
825f6ffffffffff,46.0,0.0,0.0
825f77fffffffff,24.0,0.0,0.0
826607fffffffff,861.0,15.0,0.0
82660ffffffffff,806.0,5.0,0.0
826617fffffffff,2731.0,0.0,0.0
82661ffffffffff,3214.0,26.0,0.0
826627fffffffff,1919.0,139.0,0.0
82662ffffffffff,228.0,9.0,0.0
826637fffffffff,502.0,0.0,0.0
826647fffffffff,1026.0,37.0,0.0
82664ffffffffff,5.0,0.0,0.0
826657fffffffff,565.0,0.0,0.0
82665ffffffffff,314.0,0.0,0.0
826667fffffffff,182.0,3.0,0.0
82666ffffffffff,38.0,0.0,0.0
826677fffffffff,490.0,0.0,0.0
826687fffffffff,20.0,0.0,0.0
82668ffffffffff,1.0,0.0,0.0
8266a7fffffffff,4678.0,0.0,0.0
8266affffffffff,3.0,0.0,0.0
8266b7fffffffff,5128.0,0.0,0.0
8266c7fffffffff,1382.0,0.0,0.0
8266cffffffffff,185.0,0.0,0.0
8266d7fffffffff,1752.0,126.0,0.0
8266dffffffffff,3048.0,285.0,0.0
8266e7fffffffff,4832.0,49.0,0.0
8266effffffffff,1051.0,0.0,0.0
8266f7fffffffff,3254.0,38.0,0.0
826747fffffffff,259.0,7.0,0.0
82674ffffffffff,744.0,8.0,0.0
826757fffffffff,275.0,0.0,0.0
82675ffffffffff,293.0,5.0,0.0
82676ffffffffff,6.0,0.0,0.0
826797fffffffff,131.0,0.0,0.0
82679ffffffffff,2538.0,0.0,0.0
8267b7fffffffff,4.0,0.0,0.0
826d07fffffffff,478.0,83.0,0.0
826d17fffffffff,197.0,8.0,0.0
826d27fffffffff,1018.0,32.0,0.0
826d2ffffffffff,884.0,65.0,0.0
826d37fffffffff,2458.0,12.0,0.0
826d67fffffffff,1165.0,0.0,0.0
826d6ffffffffff,14829.0,0.0,0.0
826d77fffffffff,622.0,0.0,0.0
828007fffffffff,4.0,1.0,0.0
82800ffffffffff,44.0,5.0,0.0
828017fffffffff,210.0,4.0,0.0
82801ffffffffff,3.0,0.0,0.0
82802ffffffffff,1.0,1.0,0.0
828037fffffffff,65.0,0.0,0.0
828047fffffffff,119.0,0.0,0.0
82804ffffffffff,24.0,0.0,0.0
828057fffffffff,81.0,4.0,0.0
828067fffffffff,7.0,0.0,0.0
82806ffffffffff,29.0,0.0,0.0
828077fffffffff,8.0,0.0,0.0
8280a7fffffffff,3.0,1.0,0.0
828107fffffffff,13.0,0.0,0.0
828117fffffffff,37.0,0.0,0.0
82811ffffffffff,12.0,0.0,0.0
828127fffffffff,24.0,2.0,0.0
82812ffffffffff,11.0,0.0,0.0
828137fffffffff,39.0,2.0,0.0
828147fffffffff,74.0,0.0,0.0
82814ffffffffff,112.0,0.0,0.0
82815ffffffffff,24.0,0.0,0.0
828167fffffffff,160.0,2.0,0.0
828177fffffffff,33.0,0.0,0.0
828187fffffffff,169.0,26.0,0.0
82818ffffffffff,28.0,0.0,0.0
82819ffffffffff,23.0,0.0,0.0
8281a7fffffffff,45.0,5.0,0.0
8281affffffffff,9.0,0.0,0.0
828a07fffffffff,81.0,12.0,0.0
828a17fffffffff,74.0,0.0,0.0
828a1ffffffffff,25.0,4.0,0.0
828a27fffffffff,22.0,4.0,0.0
828a37fffffffff,48.0,6.0,0.0
828a47fffffffff,902.0,9.0,0.0
