cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
834501fffffffff,3.0,0.0,0.0,0.0
834509fffffffff,4.0,3.0,0.0,0.0
83450afffffffff,5.0,0.0,0.0,0.0
834520fffffffff,5.0,0.0,0.0,0.0
834521fffffffff,5.0,0.0,0.0,0.0
834523fffffffff,1.0,1.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0,0.0
834528fffffffff,1.0,0.0,0.0,0.0
834529fffffffff,2.0,0.0,0.0,0.0
83452afffffffff,31.0,25.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,30.0,20.0,0.0,0.0
834572fffffffff,1.0,0.0,0.0,0.0
83480afffffffff,1.0,0.0,0.0,0.0
834833fffffffff,5.0,0.0,0.0,0.0
834836fffffffff,6.0,0.0,0.0,0.0
8348b2fffffffff,824.0,48.0,0.0,0.0
8348b3fffffffff,2.0,0.0,0.0,0.0
834980fffffffff,1.0,1.0,0.0,0.0
834986fffffffff,7.0,2.0,0.0,0.0
834988fffffffff,2.0,0.0,0.0,0.0
834990fffffffff,18.0,0.0,0.0,0.0
834991fffffffff,2.0,2.0,0.0,0.0
834994fffffffff,6.0,2.0,0.0,0.0
834995fffffffff,9.0,0.0,0.0,0.0
834996fffffffff,68.0,13.0,0.0,0.0
834998fffffffff,6.0,6.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0,0.0
8349a9fffffffff,2.0,0.0,0.0,0.0
8349b3fffffffff,7.0,5.0,0.0,0.0
836610fffffffff,23.0,0.0,0.0,0.0
836613fffffffff,8.0,0.0,0.0,0.0
836616fffffffff,287.0,0.0,2.0,0.0
836618fffffffff,1.0,0.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0,0.0
836641fffffffff,1.0,0.0,0.0,0.0
836656fffffffff,4.0,0.0,0.0,0.0
8366a5fffffffff,6.0,0.0,0.0,0.0
8366b0fffffffff,5.0,0.0,4.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,20.0,7.0,0.0,0.0
8366b5fffffffff,10.0,0.0,4.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,6.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,50.0,0.0,0.0,0.0
83674cfffffffff,1.0,0.0,0.0,0.0
836759fffffffff,2.0,0.0,2.0,0.0
83675afffffffff,2.0,0.0,2.0,0.0
83675bfffffffff,1.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
83679afffffffff,10.0,1.0,0.0,0.0
83679bfffffffff,2.0,0.0,2.0,0.0
836d04fffffffff,2.0,0.0,0.0,0.0
836d05fffffffff,9.0,0.0,0.0,0.0
836d14fffffffff,4.0,0.0,0.0,0.0
836d15fffffffff,6.0,0.0,0.0,0.0
836d20fffffffff,3.0,3.0,0.0,0.0
836d21fffffffff,3.0,1.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0,0.0
836d23fffffffff,18.0,0.0,0.0,0.0
836d25fffffffff,12.0,12.0,0.0,0.0
836d26fffffffff,1.0,1.0,0.0,0.0
836d28fffffffff,1.0,0.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0,0.0
836d2bfffffffff,6.0,0.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0
836d30fffffffff,1.0,1.0,0.0,0.0
836d32fffffffff,7.0,0.0,0.0,0.0
836d34fffffffff,4.0,0.0,0.0,0.0
836d35fffffffff,10.0,0.0,0.0,0.0
836d36fffffffff,1.0,0.0,0.0,0.0
836d60fffffffff,1.0,0.0,0.0,0.0
836d64fffffffff,5.0,0.0,0.0,0.0
836d68fffffffff,7.0,0.0,0.0,0.0
836d69fffffffff,27.0,4.0,2.0,0.0
836d6dfffffffff,3.0,0.0,0.0,0.0
836d6efffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0,0.0
838a73fffffffff,2.0,0.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,4.0,3.0,1.0,0.0
838b69fffffffff,5.0,0.0,0.0,0.0
838b71fffffffff,3.0,0.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0,1.0
838f40fffffffff,1.0,0.0,0.0,0.0
838f54fffffffff,1.0,0.0,0.0,1.0
838f73fffffffff,2.0,0.0,2.0,0.0
83a833fffffffff,2.0,0.0,0.0,0.0
83a946fffffffff,3.0,0.0,0.0,0.0
83a94cfffffffff,1.0,0.0,0.0,0.0
83a94efffffffff,1.0,0.0,0.0,0.0
