cell_id,Larus californicus,Larus californicus californicus,Larus californicus albertaensis
820c47fffffffff,7.0,0.0,0.0
820c57fffffffff,14.0,0.0,0.0
820c5ffffffffff,8.0,0.0,0.0
820c6ffffffffff,12.0,0.0,0.0
820c77fffffffff,15.0,0.0,0.0
820d67fffffffff,4.0,0.0,0.0
820e87fffffffff,5.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0
821257fffffffff,5.0,0.0,5.0
82125ffffffffff,4.0,0.0,0.0
82128ffffffffff,5.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0
82129ffffffffff,3.0,0.0,0.0
8212b7fffffffff,41.0,0.0,0.0
8212c7fffffffff,11.0,0.0,2.0
8212cffffffffff,42.0,0.0,1.0
8212d7fffffffff,12.0,0.0,0.0
8212dffffffffff,11.0,0.0,0.0
8212effffffffff,20.0,0.0,0.0
8212f7fffffffff,2.0,0.0,0.0
821357fffffffff,15.0,0.0,0.0
821387fffffffff,42.0,0.0,0.0
821397fffffffff,16.0,0.0,0.0
82139ffffffffff,2.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0
822607fffffffff,8.0,0.0,0.0
82260ffffffffff,6.0,0.0,0.0
822617fffffffff,7.0,0.0,0.0
82261ffffffffff,1.0,0.0,0.0
822627fffffffff,7.0,0.0,0.0
82262ffffffffff,4.0,0.0,0.0
822637fffffffff,28.0,0.0,0.0
822647fffffffff,57.0,0.0,0.0
82264ffffffffff,34.0,0.0,0.0
822657fffffffff,49.0,0.0,0.0
82265ffffffffff,2.0,0.0,0.0
822667fffffffff,68.0,0.0,0.0
82266ffffffffff,6.0,0.0,0.0
822677fffffffff,13.0,0.0,0.0
822687fffffffff,340.0,22.0,9.0
82268ffffffffff,312.0,0.0,0.0
822697fffffffff,176.0,0.0,0.0
82269ffffffffff,170.0,0.0,0.0
8226a7fffffffff,22.0,0.0,0.0
8226affffffffff,193.0,1.0,0.0
8226b7fffffffff,3.0,0.0,0.0
8226c7fffffffff,16.0,0.0,0.0
8226cffffffffff,22.0,0.0,0.0
8226d7fffffffff,10.0,0.0,0.0
8226dffffffffff,64.0,0.0,0.0
8226e7fffffffff,76.0,0.0,0.0
8226effffffffff,2.0,0.0,0.0
8226f7fffffffff,90.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0
822717fffffffff,18.0,0.0,0.0
82271ffffffffff,7.0,0.0,2.0
82274ffffffffff,15.0,0.0,0.0
822757fffffffff,62.0,0.0,0.0
82275ffffffffff,59.0,0.0,0.0
822787fffffffff,4.0,0.0,0.0
82278ffffffffff,11.0,0.0,0.0
822797fffffffff,28.0,0.0,0.0
82279ffffffffff,17.0,0.0,0.0
8227a7fffffffff,18.0,0.0,0.0
8227affffffffff,42.0,0.0,0.0
8227b7fffffffff,4.0,0.0,0.0
822807fffffffff,26.0,9.0,0.0
822817fffffffff,100.0,0.0,0.0
82281ffffffffff,65.0,2.0,1.0
822837fffffffff,2391.0,51.0,12.0
822887fffffffff,171.0,2.0,0.0
82288ffffffffff,38.0,0.0,0.0
822897fffffffff,22.0,0.0,0.0
82289ffffffffff,46.0,0.0,0.0
8228affffffffff,31.0,0.0,0.0
8228b7fffffffff,30.0,0.0,0.0
8228c7fffffffff,65.0,1.0,0.0
8228d7fffffffff,147.0,0.0,0.0
8228dffffffffff,152.0,0.0,0.0
8228e7fffffffff,11.0,0.0,0.0
8228f7fffffffff,112.0,0.0,1.0
822917fffffffff,15.0,0.0,1.0
82291ffffffffff,22.0,3.0,3.0
822987fffffffff,9.0,0.0,0.0
82298ffffffffff,126.0,4.0,0.0
822997fffffffff,55.0,0.0,0.0
82299ffffffffff,4.0,0.0,0.0
8229a7fffffffff,589.0,5.0,2.0
