cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
837a40fffffffff,2.0,2.0,0.0
837a41fffffffff,9.0,8.0,0.0
837a4bfffffffff,1.0,0.0,1.0
837a4cfffffffff,3.0,0.0,0.0
837a5cfffffffff,1.0,1.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6efffffffff,7.0,4.0,3.0
837b4afffffffff,8.0,0.0,0.0
839693fffffffff,2.0,0.0,2.0
839703fffffffff,2.0,0.0,2.0
83970cfffffffff,3.0,0.0,3.0
839728fffffffff,4.0,0.0,0.0
83972efffffffff,3.0,0.0,0.0
839768fffffffff,2.0,0.0,0.0
83bccafffffffff,2.0,0.0,2.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd2fffffffff,4.0,0.0,3.0
83bcd6fffffffff,1.0,0.0,1.0
83bcdcfffffffff,4.0,0.0,4.0
83bcdefffffffff,2.0,0.0,0.0
