cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
84661c9ffffffff,2.0,0.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,4.0,0.0,0.0,0.0
84661ebffffffff,11.0,0.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0,0.0
8466de3ffffffff,1.0,0.0,0.0,0.0
8466debffffffff,35.0,0.0,0.0,1.0
8466e11ffffffff,2.0,0.0,0.0,0.0
8466e15ffffffff,30.0,0.0,0.0,0.0
8466ec5ffffffff,4.0,0.0,0.0,0.0
8466ec9ffffffff,6.0,0.0,0.0,0.0
8466ecbffffffff,2.0,0.0,0.0,0.0
8466ecdffffffff,2.0,0.0,0.0,0.0
8466ee5ffffffff,3.0,0.0,0.0,1.0
8466f0bffffffff,2.0,0.0,0.0,0.0
8466f5dffffffff,11.0,0.0,0.0,0.0
846792dffffffff,1.0,0.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0,0.0
846d68bffffffff,1.0,1.0,0.0,0.0
846d69dffffffff,2.0,2.0,0.0,0.0
848b9d5ffffffff,1.0,0.0,0.0,1.0
848f705ffffffff,1.0,0.0,0.0,0.0
84a8917ffffffff,15.0,0.0,0.0,0.0
